Rank,Name,Elevation,Prominence,Latitude,Longitude,State
1,MT KATAHDIN (BAXTER PK),5268,4293,45.90416667,-68.92194444,ME
2,MT KATAHDIN (HAMLIN PK),4756,506,45.92416667,-68.92833333,ME
3,SUGARLOAF MTN,4250,3180,45.03166667,-70.31361111,ME
4,CROCKER MTN,4228,1218,45.04694444,-70.38333333,ME
5,OLD SPECK MTN,4170,2720,44.57083333,-70.95416667,ME
6,NORTH BROTHER,4151,1256,45.95694444,-68.98583333,ME
7,BIGELOW MTN (W PK),4145,2855,45.14666667,-70.28861111,ME
8,SADDLEBACK MTN,4120,2446,44.93638889,-70.505,ME
9,BIGELOW MTN (AVERY PK),4090,277,45.14666667,-70.27583333,ME
10,SOUTH CROCKER MTN,4050,360,45.03611111,-70.37638889,ME
11,MT ABRAHAM,4050,900,44.97277778,-70.32694444,ME
12,SADDLEBACK MTN (THE HORN),4041,471,44.95111111,-70.4875,ME
13,SPAULDING MTN,4010,595,45.00277778,-70.33388889,ME
14,MT REDINGTON,4010,460,45.025,-70.38916667,ME
15,SOUTH BROTHER,3970,,45.94416667,-69.00222222,ME
16,SNOW MTN,3960,2330,45.29138889,-70.70972222,ME
17,GOOSE EYE MTN,3870,,44.50277778,-71,ME
18,FORT MTN,3867,,45.96194444,-68.97527778,ME
19,WHITE CAP MTN,3856,,45.23611111,-70.81833333,ME
20,PANTHER,3855,,45.26722222,-70.84166667,ME
21,BIGELOW MTN (THE HORNS S PK),3805,,45.145,-70.32361111,ME
22,MT COE,3795,,45.93361111,-69.00944444,ME
23,EAST KENNEBAGO MTN,3791,1801,45.12166667,-70.6,ME
24,BALDPATE MTN (E PK),3790,2240,44.60916667,-70.89277778,ME
25,SNOW MTN,3784,,45.16916667,-70.82722222,ME
26,KENNEBAGO DIVIDE (N PK),3775,,45.2225,-70.81611111,ME
27,SADDLEBACK MTN (THE HORN N PK),3772,,44.95888889,-70.49222222,ME
28,ELEPHANT MTN,3772,2062,44.76805556,-70.78222222,ME
29,REDINGTON POND RANGE (M PK),3770,,45.00777778,-70.39472222,ME
30,MAHOOSUC ARM,3765,,44.56055556,-70.97861111,ME
31,WEST KENNEBAGO MTN (N PK),3750,,45.12027778,-70.81611111,ME
32,MT ABRAHAM (M PK),3750,,44.95777778,-70.30472222,ME
33,COBURN MTN,3730,2520,45.46861111,-70.12694444,ME
34,WEST KENNEBAGO MTN,3713,,45.10694444,-70.81694444,ME
35,BLACK NUBBLE,3710,,45.03194444,-70.4475,ME
36,KENNEBAGO DIVIDE (S PK),3705,,45.20583333,-70.82888889,ME
37,BARREN MTN,3696,,45.91916667,-68.98305556,ME
38,GOOSE EYE MTN (N PK),3675,,44.51611111,-70.98888889,ME
