Name,Elevation,Latitude,Longitude,State
MT KATAHDIN (BAXTER PK),5268,45.90416667,-68.92194444,ME
MT KATAHDIN (HAMLIN PK),4756,45.92416667,-68.92833333,ME
SUGARLOAF MTN,4250,45.03166667,-70.31361111,ME
CROCKER MTN,4228,45.04694444,-70.38333333,ME
OLD SPECK MTN,4170,44.57083333,-70.95416667,ME
NORTH BROTHER,4151,45.95694444,-68.98583333,ME
BIGELOW MTN (WEST PK),4145,45.14666667,-70.28861111,ME
SADDLEBACK MTN,4120,44.93638889,-70.505,ME
BIGELOW MTN (AVERY PK),4090,45.14666667,-70.27583333,ME
MT ABRAHAM,4050,44.97277778,-70.32694444,ME
SOUTH CROCKER MTN,4050,45.03611111,-70.37638889,ME
SADDLEBACK MTN THE HORN,4041,44.95111111,-70.4875,ME
MT REDINGTON,4010,45.025,-70.38916667,ME
SPAULDING MTN,4010,45.00277778,-70.33388889,ME
