Rank,Name,Elevation,Prominence,Latitude,Longitude,State
1,MT WASHINGTON,6288,6153,44.27055556,-71.30388889,NH
2,MT ADAMS,5774,843,44.32055556,-71.29194444,NH
3,MT JEFFERSON,5711,741,44.30416667,-71.31722222,NH
4,MT MONROE,5383,275,44.25527778,-71.32166667,NH
5,MT MADISON,5367,476,44.32861111,-71.27722222,NH
6,MT LAFAYETTE,5260,3360,44.16055556,-71.645,NH
7,SOUTH TWIN MTN,4902,1522,44.1875,-71.55527778,NH
8,CARTER DOME,4832,2815,44.26722222,-71.17972222,NH
9,MT MOOSILAUKE,4820,2960,44.02333333,-71.83194444,NH
10,MT EISENHOWER,4780,360,44.24055556,-71.35083333,NH
11,NORTH TWIN MTN,4761,301,44.2025,-71.55833333,NH
12,MT CARRIGAIN,4700,2240,44.09361111,-71.4475,NH
13,MT BOND,4698,318,44.15305556,-71.53166667,NH
14,MIDDLE CARTER MTN,4610,720,44.30305556,-71.16833333,NH
15,MT GUYOT,4580,200,44.16805556,-71.53444444,NH
16,MT BOND (W PK),4540,200,44.15472222,-71.54388889,NH
17,MT GARFIELD,4500,840,44.18722222,-71.61111111,NH
18,MT LIBERTY,4459,399,44.11583333,-71.64277778,NH
19,SOUTH CARTER MTN,4430,240,44.28972222,-71.17694444,NH
20,WILDCAT MTN,4422,1034,44.25916667,-71.20222222,NH
21,MT HANCOCK,4420,1240,44.08333333,-71.49388889,NH
22,KINSMAN MTN (S PK),4358,2418,44.12277778,-71.73694444,NH
23,MT OSCEOLA,4340,2040,44.00166667,-71.53638889,NH
24,MT FIELD,4340,1702,44.19611111,-71.43388889,NH
25,MT FLUME,4328,428,44.10861111,-71.62861111,NH
26,MT PIERCE,4310,250,44.22694444,-71.36611111,NH
27,KINSMAN MTN (N PK),4293,273,44.13333333,-71.73722222,NH
28,MT WILLEY,4285,305,44.18333333,-71.42166667,NH
29,BONDCLIFF,4265,205,44.14055556,-71.54111111,NH
30,ZEALAND RIDGE,4260,240,44.17972222,-71.52194444,NH
31,MT TRIPYRAMID (N PK),4180,1360,43.97305556,-71.44333333,NH
32,MT CABOT,4170,2665,44.50583333,-71.41472222,NH
33,MT OSCEOLA (E PK),4156,336,44.00611111,-71.52111111,NH
34,MT TRIPYRAMID (M PK),4140,280,43.96444444,-71.44055556,NH
35,CANNON MTN,4100,760,44.15666667,-71.69944444,NH
36,WILDCAT RIDGE (D PK),4070,300,44.24916667,-71.22416667,NH
37,MT HALE,4054,634,44.22166667,-71.5125,NH
38,MT JACKSON,4052,352,44.20305556,-71.37583333,NH
39,MT TOM,4051,351,44.21027778,-71.44666667,NH
40,MT MORIAH,4049,922,44.34027778,-71.13222222,NH
41,MT PASSACONAWAY,4043,783,43.95472222,-71.38111111,NH
42,OWLS HEAD,4025,845,44.14416667,-71.60555556,NH
43,GALEHEAD,4024,284,44.185,-71.57388889,NH
44,MT WHITEFACE,4020,600,43.93666667,-71.40805556,NH
45,MT WAUMBEK,4005,1299,44.4325,-71.41777778,NH
46,MT ISOLATION,4004,224,44.21472222,-71.31,NH
47,MT TECUMSEH,4003,1743,43.96638889,-71.55694444,NH
48,SANDWICH MTN,3980,1200,43.90027778,-71.49861111,NH
49,THE BULGE,3950,240,44.51444444,-71.40861111,NH
50,MT NANCY,3926,1026,44.12222222,-71.405,NH
51,THE HORN,3905,255,44.51777778,-71.40055556,NH
52,MT WEEKS (N PK),3900,623,44.46138889,-71.38222222,NH
53,MT WEEKS (S PK),3885,351,44.44222222,-71.38888889,NH
54,THE SLEEPERS (W PK),3881,181,43.95416667,-71.43583333,NH
55,VOSE SPUR,3862,242,44.10277778,-71.435,NH
56,THE SLEEPERS (E PK),3860,320,43.94666667,-71.42583333,NH
57,PEAK ABOVE THE NUBBLE,3813,193,44.22277778,-71.56194444,NH
58,SCAR RIDGE (W PK),3774,674,44.02916667,-71.59583333,NH
59,CANNON BALLS (NE PK),3769,349,44.15,-71.71055556,NH
60,MT KANCAMAGUS,3763,863,44.01111111,-71.47944444,NH
61,MT LOWELL,3740,600,44.10361111,-71.41861111,NH
62,MT ANDERSON,3740,480,44.1125,-71.41833333,NH
63,SHELBURNE MORIAH MTN,3735,445,44.35305556,-71.09916667,NH
64,HUTCHINS MTN MT PILOT,3730,511,44.54805556,-71.455,NH
65,BUNNEL MTN (BLUE MTN),3730,1800,44.79138889,-71.47916667,NH
66,MT DARTMOUTH,3727,720,44.3025,-71.38416667,NH
67,MT BEMIS,3725,265,44.12694444,-71.39416667,NH
68,SUGARLOAF,3710,600,44.74416667,-71.46833333,NH
69,ZEALE,3700,280,44.2008,-71.5183,NH
70,MT HUNTINGTON (S PK),3700,200,44.04611111,-71.48555556,NH
71,MT HUNTINGTON,3700,840,44.0501,-71.4912,NH
72,MT FIELD (W PK),3691,211,44.18916667,-71.4475,NH
73,MT WEEKS (M PK),3684,190,44.44944444,-71.37972222,NH
74,MT DECEPTION (E PK),3671,571,44.29361111,-71.42111111,NH
75,GARFIELD RIDGE (W PK),3667,227,44.18972222,-71.59583333,NH
76,LONG MTN (W PK),3661,241,44.66944444,-71.40277778,NH
77,LONG MTN (M PK),3661,1711,44.6799,-71.3794,NH
78,TERRACE MTN,3654,613,44.47722222,-71.39583333,NH
79,STUB HILL,3627,1337,45.10666667,-71.09805556,NH
80,SCAR RIDGE (E PK),3620,360,44.01916667,-71.56555556,NH
81,MT HITCHCOCK,3620,560,44.07416667,-71.54,NH
82,PILOT RIDGE (M PK),3615,325,44.53388889,-71.43777778,NH
83,MUISE MTN,3615,1265,44.7855,-71.3781,NH
84,NORTH BALDFACE,3610,1260,44.24277778,-71.0875,NH
85,GORE MTN,3610,360,44.77388889,-71.46583333,NH
86,PLINY MTN,3606,466,44.41666667,-71.39333333,NH
87,SCAUR PK,3605,185,43.985,-71.45055556,NH
88,WEST PK,3590,260,44.75416667,-71.49638889,NH
89,GARFIELD RIDGE (E PK),3590,205,44.19277778,-71.5825,NH
90,CHERRY MTN (MT MARTHA),3572,1574,44.33083333,-71.49972222,NH
91,SOUTH BALDFACE,3570,300,44.23083333,-71.07833333,NH
92,MARY MTN,3570,230,44.52833333,-71.42861111,NH
93,MT SUCCESS,3565,675,44.47138889,-71.03972222,NH
94,MT CLOUGH,3561,1261,44.02916667,-71.87277778,NH
95,THE FOOL KILLER,3548,208,43.97138889,-71.42694444,NH
96,THE CAPTAIN,3540,240,44.08388889,-71.46277778,NH
97,SABLE MTN,3519,629,44.21472222,-71.09638889,NH
98,UNNAMED (UNKNOWN POND PK),3510,400,44.5285,-71.3803,NH
99,SAVAGE MTN,3510,1360,44.73194444,-71.545,NH
100,SCAR RIDGE (M PK),3500,240,44.02527778,-71.58083333,NH
