Rank,Name,Elevation,Prominence,Latitude,Longitude,State
56,SANDWICH MTN,3980,1200,43.90027778,-71.49861111,NH
57,THE BULGE,3950,240,44.51444444,-71.40861111,NH
58,MT NANCY,3926,1026,44.12222222,-71.405,NH
59,THE HORN,3905,255,44.51777778,-71.40055556,NH
60,MT WEEKS (N PK),3900,623,44.46138889,-71.38222222,NH
61,MT WEEKS (S PK),3885,351,44.44222222,-71.38888889,NH
62,VOSE SPUR,3862,242,44.10277778,-71.435,NH
63,THE SLEEPERS (E PK),3860,320,43.94666667,-71.42583333,NH
64,SCAR RIDGE (W PK),3774,674,44.02916667,-71.59583333,NH
65,CANNON BALLS (NE PK),3769,349,44.15,-71.71055556,NH
66,MT KANCAMAGUS,3763,863,44.01111111,-71.47944444,NH
67,MT LOWELL,3740,600,44.10361111,-71.41861111,NH
68,MT ANDERSON,3740,480,44.1125,-71.41833333,NH
69,SHELBURNE MORIAH MTN,3735,445,44.35305556,-71.09916667,NH
70,HUTCHINS MTN MT PILOT,3730,511,44.54805556,-71.455,NH
71,BUNNEL MTN (BLUE MTN),3730,1800,44.79138889,-71.47916667,NH
72,MT DARTMOUTH,3727,720,44.3025,-71.38416667,NH
73,MT BEMIS,3725,265,44.12694444,-71.39416667,NH
74,SUGARLOAF,3710,600,44.74416667,-71.46833333,NH
75,ZEALE,3700,280,44.2008,-71.5183,NH
76,MT HUNTINGTON (S PK),3700,200,44.04611111,-71.48555556,NH
77,MT HUNTINGTON,3700,840,44.0501,-71.4912,NH
78,MT FIELD (W PK),3691,211,44.18916667,-71.4475,NH
79,MT DECEPTION (E PK),3671,571,44.29361111,-71.42111111,NH
80,GARFIELD RIDGE (W PK),3667,227,44.18972222,-71.59583333,NH
81,LONG MTN (W PK),3661,241,44.66944444,-71.40277778,NH
82,LONG MTN (M PK),3661,1711,44.6799,-71.3794,NH
83,TERRACE MTN,3654,613,44.47722222,-71.39583333,NH
84,STUB HILL,3627,1337,45.10666667,-71.09805556,NH
85,SCAR RIDGE (E PK),3620,360,44.01916667,-71.56555556,NH
86,MT HITCHCOCK,3620,560,44.07416667,-71.54,NH
87,PILOT RIDGE (M PK),3615,325,44.53388889,-71.43777778,NH
88,MUISE MTN,3615,1265,44.7855,-71.3781,NH
89,NORTH BALDFACE,3610,1260,44.24277778,-71.0875,NH
90,GORE MTN,3610,360,44.77388889,-71.46583333,NH
91,PLINY MTN,3606,466,44.41666667,-71.39333333,NH
92,WEST PK,3590,260,44.75416667,-71.49638889,NH
93,GARFIELD RIDGE (E PK),3590,205,44.19277778,-71.5825,NH
94,CHERRY MTN (MT MARTHA),3572,1574,44.33083333,-71.49972222,NH
95,SOUTH BALDFACE,3570,300,44.23083333,-71.07833333,NH
96,MARY MTN,3570,230,44.52833333,-71.42861111,NH
97,MT SUCCESS,3565,675,44.47138889,-71.03972222,NH
98,MT CLOUGH,3561,1261,44.02916667,-71.87277778,NH
99,THE FOOL KILLER,3548,208,43.97138889,-71.42694444,NH
100,THE CAPTAIN,3540,240,44.08388889,-71.46277778,NH
