Rank,Name,Elevation,Prominence,Latitude,Longitude,State
167,JEFFERS,2994,714,44.033852,-71.902122,NH
168,MT SHAW,2990,2340,43.74394,-71.274112,NH
169,SUGAR HILL,2988,715,44.925,-71.31,NH
170,UNNAMED (SCOTT BOG PK),2981,218,45.218,-71.188,NH
171,BARTLETT HAYSTACK,2980,840,44.0519,-71.3271,NH
172,SOUTH CRYSTAL,2970,400,44.9225,-71.2131,NH
173,HOWE,2966,206,44.3515,-71.0712,NH
174,ROGERS LEDGE,2965,495,44.55,-71.3619,NH
175,BLACK CRESCENT (S PK),2963,215,44.3515,-71.0712,NH
176,OWLS CLIFF,2951,280,44.044322,-71.358991,NH
177,FLAT MTN (S PK),2950,600,43.904108,-71.444693,NH
178,UNNAMED (PERRY PONDS PK),2948,498,45.2374,-71.2201,NH
179,MAGALLOWAY (W PK),2945,221,45.067,-71.181,NH
180,BLACK (NW PK),2944,774,44.8482,-71.1899,NH
181,BALDFACE (W PK),2941,351,44.2369,-71.1117,NH
182,EASTMAN,2939,369,44.2156,-71.062,NH
183,SOUTH DOUBLEHEAD,2938,221,44.161509,-71.131923,NH
184,MT KEARSARGE,2937,2100,43.383245,-71.857142,NH
185,BLACK MTN,2937,317,44.0483,-71.605,NH
186,GREENS CLIFF,2926,946,44.0349,-71.4018,NH
187,BIG ATTITASH,2910,380,44.0465,-71.2308,NH
188,CUBE,2909,859,43.8858,-72.0233,NH
189,STINSON,2900,1520,43.8346,-71.779,NH
190,NORTH BALD CAP,2893,343,44.466,-71.0736,NH
191,SHOAL POND PK (S PK),2891,351,44.1309,-71.4857,NH
192,MT PATIENCE (W PK),2889,759,44.7442,-71.2836,NH
193,MT DUSTAN,2878,1148,44.8585,-71.0811,NH
194,MT WILLARD,2865,285,44.2039,-71.4132,NH
195,WHITCOMB MTN (W PK),2850,320,44.7135,-71.412,NH
196,SAVAGE (E PK),2840,230,44.735638,-71.530008,NH
197,MUISE (W PK),2830,266,44.794,-71.411,NH
198,BLACK MTN (BENTON),2830,660,44.0744,-71.9226,NH
199,POND HILL,2805,296,44.4182,-71.3549,NH
200,MIDDLE MOAT MTN,2805,335,44.0235,-71.1987,NH
