Rank,Name,Elevation,Prominence,Latitude,Longitude,State
1,MT WASHINGTON,6288,6153,44.27055556,-71.30388889,NH
2,MT ADAMS,5774,843,44.32055556,-71.29194444,NH
3,MT JEFFERSON,5711,741,44.30416667,-71.31722222,NH
4,MT MONROE,5383,275,44.25527778,-71.32166667,NH
5,MT MADISON,5367,476,44.32861111,-71.27722222,NH
6,MT LAFAYETTE,5260,3360,44.16055556,-71.645,NH
7,SOUTH TWIN MTN,4902,1522,44.1875,-71.55527778,NH
8,CARTER DOME,4832,2815,44.26722222,-71.17972222,NH
9,MT MOOSILAUKE,4820,2960,44.02333333,-71.83194444,NH
10,MT EISENHOWER,4780,360,44.24055556,-71.35083333,NH
11,NORTH TWIN MTN,4761,301,44.2025,-71.55833333,NH
12,MT CARRIGAIN,4700,2240,44.09361111,-71.4475,NH
13,MT BOND,4698,318,44.15305556,-71.53166667,NH
14,MIDDLE CARTER MTN,4610,720,44.30305556,-71.16833333,NH
15,MT GARFIELD,4500,840,44.18722222,-71.61111111,NH
16,MT LIBERTY,4459,399,44.11583333,-71.64277778,NH
17,SOUTH CARTER MTN,4430,240,44.28972222,-71.17694444,NH
18,WILDCAT MTN,4422,1034,44.25916667,-71.20222222,NH
19,MT HANCOCK,4420,1240,44.08333333,-71.49388889,NH
20,KINSMAN MTN (S PK),4358,2418,44.12277778,-71.73694444,NH
21,MT OSCEOLA,4340,2040,44.00166667,-71.53638889,NH
22,MT FIELD,4340,1702,44.19611111,-71.43388889,NH
23,MT FLUME,4328,428,44.10861111,-71.62861111,NH
24,MT PIERCE,4310,250,44.22694444,-71.36611111,NH
25,KINSMAN MTN (N PK),4293,273,44.13333333,-71.73722222,NH
26,MT WILLEY,4285,305,44.18333333,-71.42166667,NH
27,BONDCLIFF,4265,205,44.14055556,-71.54111111,NH
28,ZEALAND RIDGE,4260,240,44.17972222,-71.52194444,NH
29,MT TRIPYRAMID (N PK),4180,1360,43.97305556,-71.44333333,NH
30,MT CABOT,4170,2665,44.50583333,-71.41472222,NH
31,MT OSCEOLA (E PK),4156,336,44.00611111,-71.52111111,NH
32,MT TRIPYRAMID (M PK),4140,280,43.96444444,-71.44055556,NH
33,CANNON MTN,4100,760,44.15666667,-71.69944444,NH
34,WILDCAT RIDGE (D PK),4070,300,44.24916667,-71.22416667,NH
35,MT HALE,4054,634,44.22166667,-71.5125,NH
36,MT JACKSON,4052,352,44.20305556,-71.37583333,NH
37,MT TOM,4051,351,44.21027778,-71.44666667,NH
38,MT MORIAH,4049,922,44.34027778,-71.13222222,NH
39,MT PASSACONAWAY,4043,783,43.95472222,-71.38111111,NH
40,OWLS HEAD,4025,845,44.14416667,-71.60555556,NH
41,GALEHEAD,4024,284,44.185,-71.57388889,NH
42,MT WHITEFACE,4020,600,43.93666667,-71.40805556,NH
43,MT WAUMBEK,4005,1299,44.4325,-71.41777778,NH
44,MT ISOLATION,4004,224,44.21472222,-71.31,NH
45,MT TECUMSEH,4003,1743,43.96638889,-71.55694444,NH
46,SANDWICH MTN,3980,1200,43.90027778,-71.49861111,NH
47,THE BULGE,3950,240,44.51444444,-71.40861111,NH
48,MT NANCY,3926,1026,44.12222222,-71.405,NH
49,THE HORN,3905,255,44.51777778,-71.40055556,NH
50,MT WEEKS (N PK),3900,623,44.46138889,-71.38222222,NH
51,MT WEEKS (S PK),3885,351,44.44222222,-71.38888889,NH
52,VOSE SPUR,3862,242,44.10277778,-71.435,NH
53,THE SLEEPERS (E PK),3860,320,43.94666667,-71.42583333,NH
54,SCAR RIDGE (W PK),3774,674,44.02916667,-71.59583333,NH
55,CANNON BALLS (NE PK),3769,349,44.15,-71.71055556,NH
56,MT KANCAMAGUS,3763,863,44.01111111,-71.47944444,NH
57,MT LOWELL,3740,600,44.10361111,-71.41861111,NH
58,MT ANDERSON,3740,480,44.1125,-71.41833333,NH
59,SHELBURNE MORIAH MTN,3735,445,44.35305556,-71.09916667,NH
60,HUTCHINS MTN MT PILOT,3730,511,44.54805556,-71.455,NH
61,BUNNEL MTN (BLUE MTN),3730,1800,44.79138889,-71.47916667,NH
62,MT DARTMOUTH,3727,720,44.3025,-71.38416667,NH
63,MT BEMIS,3725,265,44.12694444,-71.39416667,NH
64,SUGARLOAF,3710,600,44.74416667,-71.46833333,NH
65,ZEALE,3700,280,44.2008,-71.5183,NH
66,MT HUNTINGTON,3700,840,44.0501,-71.4912,NH
67,MT FIELD (W PK),3691,211,44.18916667,-71.4475,NH
68,MT DECEPTION (E PK),3671,571,44.29361111,-71.42111111,NH
69,GARFIELD RIDGE (W PK),3667,227,44.18972222,-71.59583333,NH
70,LONG MTN (W PK),3661,241,44.66944444,-71.40277778,NH
71,LONG MTN (M PK),3661,1711,44.6799,-71.3794,NH
72,TERRACE MTN,3654,613,44.47722222,-71.39583333,NH
73,STUB HILL,3627,1337,45.10666667,-71.09805556,NH
74,SCAR RIDGE (E PK),3620,360,44.01916667,-71.56555556,NH
75,MT HITCHCOCK,3620,560,44.07416667,-71.54,NH
76,PILOT RIDGE (M PK),3615,325,44.53388889,-71.43777778,NH
77,MUISE MTN,3615,1265,44.7855,-71.3781,NH
78,NORTH BALDFACE,3610,1260,44.24277778,-71.0875,NH
79,GORE MTN,3610,360,44.77388889,-71.46583333,NH
80,PLINY MTN,3606,466,44.41666667,-71.39333333,NH
81,WEST PK,3590,260,44.75416667,-71.49638889,NH
82,GARFIELD RIDGE (E PK),3590,205,44.19277778,-71.5825,NH
83,CHERRY MTN (MT MARTHA),3572,1574,44.33083333,-71.49972222,NH
84,SOUTH BALDFACE,3570,300,44.23083333,-71.07833333,NH
85,MARY MTN,3570,230,44.52833333,-71.42861111,NH
86,MT SUCCESS,3565,675,44.47138889,-71.03972222,NH
87,MT CLOUGH,3561,1261,44.02916667,-71.87277778,NH
88,THE FOOL KILLER,3548,208,43.97138889,-71.42694444,NH
89,THE CAPTAIN,3540,240,44.08388889,-71.46277778,NH
90,SABLE MTN,3519,629,44.21472222,-71.09638889,NH
91,UNNAMED (UNKNOWN POND PK),3510,400,44.5285,-71.3803,NH
92,SAVAGE MTN,3510,1360,44.73194444,-71.545,NH
93,SCAR RIDGE (M PK),3500,240,44.02527778,-71.58083333,NH
94,MT WOLF,3500,920,44.0775,-71.75388889,NH
95,MT CHOCORUA,3500,1280,43.95444444,-71.27388889,NH
96,DIXVILLE PK,3490,900,44.83583333,-71.31861111,NH
97,MT KELSEY,3472,1102,44.80138889,-71.31444444,NH
98,STAIRS MTN,3463,528,44.155,-71.31888889,NH
99,CARR MTN,3453,1480,43.88472222,-71.84388889,NH
100,NORTH PERCY PEAK,3430,800,44.66305556,-71.43555556,NH
101,STUB HILL (N PK),3422,242,45.11833333,-71.1025,NH
102,EAGLE CLIFF,3420,440,44.16861111,-71.67194444,NH
103,MT RESOLUTION,3415,355,44.1475,-71.31444444,NH
104,WHITEWALL MTN,3405,305,44.1825,-71.4725,NH
105,TEAPOT MTN,3390,340,44.7475,-71.55666667,NH
106,SALMON MTN,3390,880,45.24305556,-71.13388889,NH
107,RICE MTN,3390,1380,44.85277778,-71.24083333,NH
108,MAGALLOWAY MTN,3383,1013,45.06333333,-71.16305556,NH
109,MILLEN HILL,3375,255,44.29361111,-71.36527778,NH
110,MT TREMONT,3371,1591,44.05333333,-71.3575,NH
111,WHITCOMB MTN,3354,984,44.74361111,-71.37055556,NH
112,LITTLE WILDCAT MTN,3350,280,44.27722222,-71.21,NH
113,WHITCOMB MTN (S PK),3338,308,44.73,-71.37194444,NH
114,CHANDLER MTN,3335,565,44.20222222,-71.10638889,NH
115,MT HITCHCOCK (E PK),3331,211,44.07611111,-71.51472222,NH
116,FLAT MTN,3331,551,43.92861111,-71.46222222,NH
117,BLUE MTN (W PK),3326,240,44.79027778,-71.50555556,NH
118,MT KINEO,3313,1253,43.92916667,-71.79888889,NH
119,MT HUNTINGTON (E PK),3306,206,44.03888889,-71.46944444,NH
120,BLACK MTN,3304,714,44.22527778,-71.15611111,NH
121,BIG COOLIDGE MTN,3294,554,44.07944444,-71.64305556,NH
122,CRYSTAL MTN (N PK),3279,1149,44.9375,-71.21027778,NH
123,UNNAMED (BOUNDARY POND PK),3277,747,45.27055556,-71.11666667,NH
124,KEARSARGE NORTH,3268,1758,44.10583333,-71.09444444,NH
125,BLACK CRESCENT MTN,3264,1070,44.43944444,-71.27111111,NH
126,MT CRESCENT,3251,781,44.40416667,-71.29472222,NH
127,SMARTS MTN,3238,2188,43.82555556,-72.03916667,NH
128,SOUTH PERCY PEAK,3234,344,44.65638889,-71.43555556,NH
129,DIAMOND RIDGE,3230,700,45.09194444,-71.13611111,NH
130,CRYSTAL MTN (NW PK),3230,340,44.9723,-71.2297,NH
131,MT CUSHMAN,3221,690,43.95833333,-71.77916667,NH
132,BEAR MTN,3220,1440,44.02944444,-71.30222222,NH
133,WEST ROYCE MTN,3210,1340,44.30222222,-71.01861111,NH
134,MT PAUGUS,3198,978,43.95111111,-71.32944444,NH
135,NORTH MOAT MTN,3196,1176,44.04305556,-71.215,NH
136,MT HITCHCOCK (N PK),3194,214,44.08722222,-71.54472222,NH
137,CAVE MTN,3191,581,44.88388889,-71.26611111,NH
138,DEER MTN (S PK),3190,820,45.18972222,-71.22583333,NH
139,BLUE MTN (N PK),3190,500,44.82027778,-71.49305556,NH
140,MONADNOCK MTN,3159,2155,42.86083333,-72.10888889,NH
141,MT CARDIGAN,3155,1925,43.64916667,-71.91472222,NH
142,MT HEDGEHOG,3140,240,43.9414,-71.3642,NH
143,MT KENT,3137,387,45.23138889,-71.095,NH
144,MT CRAWFORD,3119,259,44.13666667,-71.33305556,NH
145,BLUE RIDGE (N PK),3102,372,44.95583333,-71.24694444,NH
146,MT TUCKER (W PK),3097,687,44.9413,-71.1661,NH
147,MT RANDOLPH (N PK),3097,292,44.3968,-71.3166,NH
148,BALDHEAD MTN (S PK),3097,467,44.8224,-71.3671,NH
149,MT PISGAH,3081,471,44.99555556,-71.21305556,NH
150,LOON MTN (N PK),3065,205,44.03611111,-71.62166667,NH
151,BALD CAP,3065,735,44.44944444,-71.10305556,NH
152,MT HITCHCOCK (W PK),3064,224,44.07194444,-71.55333333,NH
153,WOLF CUB GORDON POND PEAK,3063,283,44.07166667,-71.74,NH
154,NORTH DOUBLEHEAD,3053,963,44.16777778,-71.13055556,NH
155,UNNAMED (SHOAL POND PK),3051,511,44.1497,-71.4807,NH
156,MT DURBAN,3010,665,45.29527778,-71.10527778,NH
157,MT ROSEBROOK,3004,264,44.24305556,-71.47166667,NH
158,JEFFERS,2994,714,44.033852,-71.902122,NH
159,MT SHAW,2990,2340,43.74394,-71.274112,NH
160,SUGAR HILL,2988,715,44.925,-71.31,NH
161,UNNAMED (SCOTT BOG PK),2981,218,45.218,-71.188,NH
162,BARTLETT HAYSTACK,2980,840,44.0519,-71.3271,NH
163,SOUTH CRYSTAL,2970,400,44.9225,-71.2131,NH
164,HOWE,2966,206,44.3515,-71.0712,NH
165,ROGERS LEDGE,2965,495,44.55,-71.3619,NH
166,BLACK CRESCENT (S PK),2963,215,44.3515,-71.0712,NH
167,OWLS CLIFF,2951,280,44.044322,-71.358991,NH
168,FLAT MTN (S PK),2950,600,43.904108,-71.444693,NH
169,UNNAMED (PERRY PONDS PK),2948,498,45.2374,-71.2201,NH
170,MAGALLOWAY (W PK),2945,221,45.067,-71.181,NH
171,BLACK (NW PK),2944,774,44.8482,-71.1899,NH
172,BALDFACE (W PK),2941,351,44.2369,-71.1117,NH
173,EASTMAN,2939,369,44.2156,-71.062,NH
174,SOUTH DOUBLEHEAD,2938,221,44.161509,-71.131923,NH
175,MT KEARSARGE,2937,2100,43.383245,-71.857142,NH
176,BLACK MTN,2937,317,44.0483,-71.605,NH
177,GREENS CLIFF,2926,946,44.0349,-71.4018,NH
178,BIG ATTITASH,2910,380,44.0465,-71.2308,NH
179,CUBE,2909,859,43.8858,-72.0233,NH
180,STINSON,2900,1520,43.8346,-71.779,NH
181,NORTH BALD CAP,2893,343,44.466,-71.0736,NH
182,SHOAL POND PK (S PK),2891,351,44.1309,-71.4857,NH
183,MT PATIENCE (W PK),2889,759,44.7442,-71.2836,NH
184,MT DUSTAN,2878,1148,44.8585,-71.0811,NH
185,MT WILLARD,2865,285,44.2039,-71.4132,NH
186,WHITCOMB MTN (W PK),2850,320,44.7135,-71.412,NH
187,SAVAGE (E PK),2840,230,44.735638,-71.530008,NH
188,MUISE (W PK),2830,266,44.794,-71.411,NH
189,BLACK MTN (BENTON),2830,660,44.0744,-71.9226,NH
190,POND HILL,2805,296,44.4182,-71.3549,NH
191,MIDDLE MOAT MTN,2805,335,44.0235,-71.1987,NH
192,UNNAMED (NORTON POOL PK),2792,442,45.1831,-71.1014,NH
193,SAVAGE (EE PK),2790,240,44.741734,-71.52194,NH
194,CHASE MTN,2790,460,44.9015,-71.1396,NH
195,CAMBRIDGE BLACK MTN,2790,700,44.627,-71.0792,NH
196,FARAWAY MTN,2782,413,43.7615,-71.3116,NH
197,DIXVILLE PEAK (SW PK),2775,205,44.841,-71.353,NH
198,VAN DYCK MTN,2770,220,44.911,-71.314,NH
199,GREEN MTN,2762,222,43.9576,-71.7537,NH
200,POTASH MTN (S PK),2760,300,43.9724,-71.3976,NH
