Rank,Name,Elevation,Prominence,Latitude,Longitude,State
48,SANDWICH MTN,3980,1200,43.90027778,-71.49861111,NH
49,THE BULGE,3950,240,44.51444444,-71.40861111,NH
50,MT NANCY,3926,1026,44.12222222,-71.405,NH
51,THE HORN,3905,255,44.51777778,-71.40055556,NH
52,MT WEEKS (N PK),3900,623,44.46138889,-71.38222222,NH
53,MT WEEKS (S PK),3885,351,44.44222222,-71.38888889,NH
54,THE SLEEPERS (W PK),3881,181,43.95416667,-71.43583333,NH
55,VOSE SPUR,3862,242,44.10277778,-71.435,NH
56,THE SLEEPERS (E PK),3860,320,43.94666667,-71.42583333,NH
57,PEAK ABOVE THE NUBBLE,3813,193,44.22277778,-71.56194444,NH
58,SCAR RIDGE (W PK),3774,674,44.02916667,-71.59583333,NH
59,CANNON BALLS (NE PK),3769,349,44.15,-71.71055556,NH
60,MT KANCAMAGUS,3763,863,44.01111111,-71.47944444,NH
61,MT LOWELL,3740,600,44.10361111,-71.41861111,NH
62,MT ANDERSON,3740,480,44.1125,-71.41833333,NH
63,SHELBURNE MORIAH MTN,3735,445,44.35305556,-71.09916667,NH
64,HUTCHINS MTN MT PILOT,3730,511,44.54805556,-71.455,NH
65,BUNNEL MTN (BLUE MTN),3730,1800,44.79138889,-71.47916667,NH
66,MT DARTMOUTH,3727,720,44.3025,-71.38416667,NH
67,MT BEMIS,3725,265,44.12694444,-71.39416667,NH
68,SUGARLOAF,3710,600,44.74416667,-71.46833333,NH
69,ZEALE,3700,280,44.2008,-71.5183,NH
70,MT HUNTINGTON (S PK),3700,200,44.04611111,-71.48555556,NH
71,MT HUNTINGTON,3700,840,44.0501,-71.4912,NH
72,MT FIELD (W PK),3691,211,44.18916667,-71.4475,NH
73,MT WEEKS (M PK),3684,190,44.44944444,-71.37972222,NH
74,MT DECEPTION (E PK),3671,571,44.29361111,-71.42111111,NH
75,GARFIELD RIDGE (W PK),3667,227,44.18972222,-71.59583333,NH
76,LONG MTN (W PK),3661,241,44.66944444,-71.40277778,NH
77,LONG MTN (M PK),3661,1711,44.6799,-71.3794,NH
78,TERRACE MTN,3654,613,44.47722222,-71.39583333,NH
79,STUB HILL,3627,1337,45.10666667,-71.09805556,NH
