Rank,Name,Elevation,Latitude,Longitude,State,Prominence
1,MT WASHINGTON,6288,44.27055556,-71.30388889,NH,6153
2,MT ADAMS,5774,44.32055556,-71.29194444,NH,
3,MT JEFFERSON,5712,44.30416667,-71.31722222,NH,
4,MT MONROE,5384,44.25527778,-71.32166667,NH,
5,MT MADISON,5367,44.32861111,-71.27722222,NH,
6,MT LAFAYETTE,5260,44.16055556,-71.645,NH,3360
7,SOUTH TWIN MTN,4902,44.1875,-71.55527778,NH,1522
8,CARTER DOME,4832,44.26722222,-71.17972222,NH,2821
9,MT MOOSILAUKE,4802,44.02333333,-71.83194444,NH,2960
10,MT EISENHOWER,4780,44.24055556,-71.35083333,NH,
11,NORTH TWIN MTN,4761,44.2025,-71.55833333,NH,
12,MT CARRIGAIN,4700,44.09361111,-71.4475,NH,2240
13,MT BOND,4698,44.15305556,-71.53166667,NH,
14,MIDDLE CARTER MTN,4610,44.30305556,-71.16833333,NH,
15,MT GUYOT,4580,44.16805556,-71.53444444,NH,
16,MT BOND (W PK),4540,44.15472222,-71.54388889,NH,
17,MT GARFIELD,4500,44.18722222,-71.61111111,NH,
18,MT LIBERTY,4459,44.11583333,-71.64277778,NH,
19,SOUTH CARTER MTN,4430,44.28972222,-71.17694444,NH,
20,WILDCAT MTN,4422,44.25916667,-71.20222222,NH,
21,MT HANCOCK,4420,44.08333333,-71.49388889,NH,
22,KINSMAN MTN (S PK),4358,44.12277778,-71.73694444,NH,2418
23,MT OSCEOLA,4340,44.00166667,-71.53638889,NH,2040
24,MT FIELD,4340,44.19611111,-71.43388889,NH,1702
25,MT FLUME,4328,44.10861111,-71.62861111,NH,
26,MT PIERCE,4310,44.22694444,-71.36611111,NH,
27,KINSMAN MTN (N PK),4293,44.13333333,-71.73722222,NH,
28,MT WILLEY,4285,44.18333333,-71.42166667,NH,
29,"MT BOND, THE CLIFFS",4265,44.14055556,-71.54111111,NH,
30,ZEALAND RIDGE,4260,44.17972222,-71.52194444,NH,
31,MT TRIPYRAMID (N PK),4180,43.97305556,-71.44333333,NH,
32,MT CABOT,4170,44.50583333,-71.41472222,NH,2665
33,MT OSCEOLA (E PK),4156,44.00611111,-71.52111111,NH,
34,MT TRIPYRAMID (M PK),4140,43.96444444,-71.44055556,NH,
35,CANNON MTN,4100,44.15666667,-71.69944444,NH,
36,WILDCAT RIDGE (D PK),4070,44.24916667,-71.22416667,NH,
37,MT HALE,4054,44.22166667,-71.5125,NH,
38,MT JACKSON,4052,44.20305556,-71.37583333,NH,
39,MT TOM,4051,44.21027778,-71.44666667,NH,
40,MT MORIAH,4049,44.34027778,-71.13222222,NH,
41,MT PASSACONAWAY,4043,43.95472222,-71.38111111,NH,
42,OWLS HEAD,4025,44.14416667,-71.60555556,NH,
43,GALEHEAD,4024,44.185,-71.57388889,NH,
44,MT WHITEFACE,4020,43.93666667,-71.40805556,NH,
45,MT WAUMBEK,4006,44.4325,-71.41777778,NH,
46,MT ISOLATION,4004,44.21472222,-71.31,NH,
47,MT TECUMSEH,4003,43.96638889,-71.55694444,NH,1743
