Rank,Name,Elevation,Prominence,Latitude,Longitude,State
1,MT WASHINGTON,6288,6153,44.27055556,-71.30388889,NH
2,MT ADAMS,5774,843,44.32055556,-71.29194444,NH
3,MT JEFFERSON,5711,741,44.30416667,-71.31722222,NH
4,MT MONROE,5383,275,44.25527778,-71.32166667,NH
5,MT MADISON,5367,476,44.32861111,-71.27722222,NH
6,MT LAFAYETTE,5260,3360,44.16055556,-71.645,NH
7,SOUTH TWIN MTN,4902,1522,44.1875,-71.55527778,NH
8,CARTER DOME,4832,2815,44.26722222,-71.17972222,NH
9,MT MOOSILAUKE,4820,2960,44.02333333,-71.83194444,NH
10,MT EISENHOWER,4780,360,44.24055556,-71.35083333,NH
11,NORTH TWIN MTN,4761,301,44.2025,-71.55833333,NH
12,MT CARRIGAIN,4700,2240,44.09361111,-71.4475,NH
13,MT BOND,4698,318,44.15305556,-71.53166667,NH
14,MIDDLE CARTER MTN,4610,720,44.30305556,-71.16833333,NH
15,MT GARFIELD,4500,840,44.18722222,-71.61111111,NH
16,MT LIBERTY,4459,399,44.11583333,-71.64277778,NH
17,SOUTH CARTER MTN,4430,240,44.28972222,-71.17694444,NH
18,WILDCAT MTN,4422,1034,44.25916667,-71.20222222,NH
19,MT HANCOCK,4420,1240,44.08333333,-71.49388889,NH
20,KINSMAN MTN (S PK),4358,2418,44.12277778,-71.73694444,NH
21,MT OSCEOLA,4340,2040,44.00166667,-71.53638889,NH
22,MT FIELD,4340,1702,44.19611111,-71.43388889,NH
23,MT FLUME,4328,428,44.10861111,-71.62861111,NH
24,MT PIERCE,4310,250,44.22694444,-71.36611111,NH
25,KINSMAN MTN (N PK),4293,273,44.13333333,-71.73722222,NH
26,MT WILLEY,4285,305,44.18333333,-71.42166667,NH
27,BONDCLIFF,4265,205,44.14055556,-71.54111111,NH
28,ZEALAND RIDGE,4260,240,44.17972222,-71.52194444,NH
29,MT TRIPYRAMID (N PK),4180,1360,43.97305556,-71.44333333,NH
30,MT CABOT,4170,2665,44.50583333,-71.41472222,NH
31,MT OSCEOLA (E PK),4156,336,44.00611111,-71.52111111,NH
32,MT TRIPYRAMID (M PK),4140,280,43.96444444,-71.44055556,NH
33,CANNON MTN,4100,760,44.15666667,-71.69944444,NH
34,WILDCAT RIDGE (D PK),4070,300,44.24916667,-71.22416667,NH
35,MT HALE,4054,634,44.22166667,-71.5125,NH
36,MT JACKSON,4052,352,44.20305556,-71.37583333,NH
37,MT TOM,4051,351,44.21027778,-71.44666667,NH
38,MT MORIAH,4049,922,44.34027778,-71.13222222,NH
39,MT PASSACONAWAY,4043,783,43.95472222,-71.38111111,NH
40,OWLS HEAD,4025,845,44.14416667,-71.60555556,NH
41,GALEHEAD,4024,284,44.185,-71.57388889,NH
42,MT WHITEFACE,4020,600,43.93666667,-71.40805556,NH
43,MT WAUMBEK,4005,1299,44.4325,-71.41777778,NH
44,MT ISOLATION,4004,224,44.21472222,-71.31,NH
45,MT TECUMSEH,4003,1743,43.96638889,-71.55694444,NH
