Rank,Name,Elevation,Latitude,Longitude,State
1,MT MARCY,5344,44.1125,-73.92416667,NY
2,ALGONQUIN PK,5115,44.14361111,-73.98694444,NY
3,MT HAYSTACK,4961,44.10555556,-73.90111111,NY
4,MT SKYLIGHT,4925,44.09944444,-73.93138889,NY
5,WHITEFACE MTN,4865,44.36555556,-73.90361111,NY
6,IROQUOIS PK,4849,44.13694444,-73.99861111,NY
7,DIX MTN,4839,44.08222222,-73.78666667,NY
8,GRAY PEAK,4826,44.11138889,-73.93555556,NY
9,BASIN MTN,4826,44.12111111,-73.88694444,NY
10,GOTHICS,4734,44.12777778,-73.85777778,NY
11,MT COLDEN,4715,44.12694444,-73.96055556,NY
12,GIANT MTN,4626,44.16111111,-73.72055556,NY
13,NIPPLE TOP,4610,44.08888889,-73.81638889,NY
14,SANTANONI PK,4606,44.08222222,-74.13138889,NY
15,MT REDFIELD,4606,44.09472222,-73.95027778,NY
16,WRIGHT PK,4587,44.15166667,-73.98,NY
17,SADDLEBACK MTN,4528,44.12638889,-73.87527778,NY
18,ARMSTRONG MTN,4446,44.13444444,-73.85,NY
19,PANTHER PK,4442,44.09833333,-74.13277778,NY
20,TABLE TOP MTN,4413,44.14055556,-73.91666667,NY
21,HOUGH PK,4409,44.06944444,-73.77805556,NY
22,MACOMB MTN,4390,44.05166667,-73.78027778,NY
23,ROCKY PEAK RIDGE,4383,44.15416667,-73.70583333,NY
24,MT MARSHALL,4380,44.1275,-74.0125,NY
25,SEWARD MTN,4347,44.15972222,-74.2,NY
26,ALLEN MTN,4347,44.07083333,-73.94,NY
27,BIG SLIDE MTN,4249,44.18222222,-73.87138889,NY
28,ESTHER MTN,4239,44.38694444,-73.89027778,NY
29,UPPER WOLFJAW MTN,4203,44.14027778,-73.84583333,NY
30,LOWER WOLFJAW MTN,4173,44.14805556,-73.83305556,NY
31,PHELPS MTN,4160,44.15694444,-73.92166667,NY
32,STREET MTN,4150,44.17944444,-74.0275,NY
33,SAWTEETH,4150,44.11444444,-73.85055556,NY
34,DONALDSON MTN,4108,44.15388889,-74.21194444,NY
35,CASCADE MTN,4098,44.21833333,-73.86055556,NY
36,SEYMOUR MTN,4091,44.15805556,-74.17277778,NY
37,SOUTH DIX,4085,44.06,-73.77472222,NY
38,PORTER MTN,4085,44.21222222,-73.85416667,NY
39,MT COLVIN,4085,44.09388889,-73.83472222,NY
40,MT EMMONS,4039,44.14388889,-74.21472222,NY
41,DIAL MTN,4019,44.10583333,-73.79666667,NY
42,EAST DIX,4006,44.06527778,-73.75777778,NY
43,BLAKE PK,3986,44.08111111,-73.845,NY
44,MACNAUGHTON MTN,3983,44.13972222,74.06472222,NY
45,GREEN MTN,3960,44.18194444,73.715,NY
46,CLIFF MTN,3944,44.10333333,-73.97555556,NY
47,SNOWY MTN,3901,43.7,74.38694444,NY
48,MOOSE MTN,3898,44.35083333,74.00361111,NY
49,LOST POND,3891,44.16416667,74.03472222,NY
50,NYE MTN,3888,44.18722222,-74.02444444,NY
51,KILBURN MTN,3881,44.30277778,73.8825,NY
52,BLUE RIDGE,3881,43.62944444,74.48222222,NY
53,NORTH RIVER MTNS (N PK),3878,44.03527778,73.9825,NY
54,PANTHER MTN,3862,43.73666667,74.39194444,NY
55,SENTINEL MTN,3858,44.30611111,73.85277778,NY
56,SAWTOOTH MTNS (M PK),3855,44.18861111,74.12166667,NY
57,MCKENZIE MTN,3832,44.33611111,74.03277778,NY
58,LYON MTN (NE PK),3830,44.70305556,73.86472222,NY
59,TR,3822,44.14388889,73.93583333,NY
60,AVALANCHE MTN,3816,44.13611111,73.97,NY
61,"LYON MTN, AVERILL PK",3803,44.69277778,73.88138889,NY
62,COUCHSACHRAGA PK,3793,44.09527778,-74.16055556,NY
63,SAWTOOTH MTNS (W PK),3789,44.19305556,74.14027778,NY
64,BUELL MTN,3789,43.71638889,74.4075,NY
65,BOREAS MTN,3776,44.00305556,73.88111111,NY
66,WAKELY MTN,3766,43.73694444,74.51527778,NY
67,BLUE MTN,3750,43.87222222,74.40138889,NY
68,LEWEY MTN,3730,43.66444444,74.4425,NY
69,WALLFACE MTN,3727,44.13805556,74.03722222,NY
70,HENDERSON MTN,3724,44.09777778,74.09805556,NY
71,HOFFMAN MTN,3704,43.91138889,73.81888889,NY
72,SAWTOOTH MTNS (SSE PK),3694,44.17166667,74.10833333,NY
73,CHENEY COBBLE,3684,44.04444444,73.96527778,NY
74,HURRICANE MTN,3678,44.235,73.71083333,NY
75,LITTLE MOOSE MTN,3632,43.67027778,74.56972222,NY
76,CALAMITY MTN,3625,44.10305556,74.00305556,NY
77,SUNRISE MTN,3619,44.02472222,73.79083333,NY
78,STEWART MTN,3615,44.32611111,73.85666667,NY
79,SADDLEBACK MTN,3615,44.295,73.66833333,NY
80,PILLSBURY MTN,3612,43.58138889,74.51166667,NY
81,DUN BROOK MTN,3606,43.89777778,74.32305556,NY
82,SLIDE MTN,3592,44.27638889,73.88694444,NY
83,JAY MTNS,3592,44.31083333,73.66666667,NY
84,GORE MTN,3573,43.67333333,74.04888889,NY
85,NOONMARK MTN,3556,44.12861111,73.77277778,NY
86,FISHING BROOK MTN,3547,43.93416667,74.29527778,NY
87,MT ADAMS,3520,44.08694444,74.02611111,NY
88,LITTLE SANTANONI MTN,3504,44.07361111,74.1675,NY
89,PITCHOFF MTN,3497,44.23722222,73.87777778,NY
90,FISHING BROOK RANGE,3494,43.91833333,74.32055556,NY
91,BLUE RIDGE (E PK),3474,43.79472222,74.45555556,NY
92,BLUE RIDGE MTN,3468,43.92527778,73.81416667,NY
93,SAWTOOTH MTNS (SW PK),3461,44.17638889,74.13388889,NY
