Rank,Name,Elevation,Latitude,Longitude,State
47,MACNAUGHTON MTN,3983,44.13972222,74.06472222,NY
48,GREEN MTN,3960,44.18194444,73.715,NY
49,SNOWY MTN,3901,43.7,74.38694444,NY
50,MOOSE MTN,3898,44.35083333,74.00361111,NY
51,LOST POND,3891,44.16416667,74.03472222,NY
52,KILBURN MTN,3881,44.30277778,73.8825,NY
53,BLUE RIDGE,3881,43.62944444,74.48222222,NY
54,NORTH RIVER MTNS (N PK),3878,44.03527778,73.9825,NY
55,PANTHER MTN,3862,43.73666667,74.39194444,NY
56,SENTINEL MTN,3858,44.30611111,73.85277778,NY
57,SAWTOOTH MTNS (M PK),3855,44.18861111,74.12166667,NY
58,MCKENZIE MTN,3832,44.33611111,74.03277778,NY
59,LYON MTN (NE PK),3830,44.70305556,73.86472222,NY
60,TR,3822,44.14388889,73.93583333,NY
61,AVALANCHE MTN,3816,44.13611111,73.97,NY
62,"LYON MTN, AVERILL PK",3803,44.69277778,73.88138889,NY
63,SAWTOOTH MTNS (W PK),3789,44.19305556,74.14027778,NY
64,BUELL MTN,3789,43.71638889,74.4075,NY
65,BOREAS MTN,3776,44.00305556,73.88111111,NY
66,WAKELY MTN,3766,43.73694444,74.51527778,NY
67,BLUE MTN,3750,43.87222222,74.40138889,NY
68,LEWEY MTN,3730,43.66444444,74.4425,NY
69,WALLFACE MTN,3727,44.13805556,74.03722222,NY
70,HENDERSON MTN,3724,44.09777778,74.09805556,NY
71,HOFFMAN MTN,3704,43.91138889,73.81888889,NY
72,SAWTOOTH MTNS (SSE PK),3694,44.17166667,74.10833333,NY
73,CHENEY COBBLE,3684,44.04444444,73.96527778,NY
74,HURRICANE MTN,3678,44.235,73.71083333,NY
75,LITTLE MOOSE MTN,3632,43.67027778,74.56972222,NY
76,CALAMITY MTN,3625,44.10305556,74.00305556,NY
77,SUNRISE MTN,3619,44.02472222,73.79083333,NY
78,STEWART MTN,3615,44.32611111,73.85666667,NY
79,SADDLEBACK MTN,3615,44.295,73.66833333,NY
80,PILLSBURY MTN,3612,43.58138889,74.51166667,NY
81,DUN BROOK MTN,3606,43.89777778,74.32305556,NY
82,SLIDE MTN,3592,44.27638889,73.88694444,NY
83,JAY MTNS,3592,44.31083333,73.66666667,NY
84,GORE MTN,3573,43.67333333,74.04888889,NY
85,NOONMARK MTN,3556,44.12861111,73.77277778,NY
86,FISHING BROOK MTN,3547,43.93416667,74.29527778,NY
87,MT ADAMS,3520,44.08694444,74.02611111,NY
88,LITTLE SANTANONI MTN,3504,44.07361111,74.1675,NY
89,PITCHOFF MTN,3497,44.23722222,73.87777778,NY
90,FISHING BROOK RANGE,3494,43.91833333,74.32055556,NY
91,BLUE RIDGE (E PK),3474,43.79472222,74.45555556,NY
92,BLUE RIDGE MTN,3468,43.92527778,73.81416667,NY
93,SAWTOOTH MTNS (SW PK),3461,44.17638889,74.13388889,NY
94,WILMINGTON RANGE,3458,44.43222222,73.84388889,NY
95,MORGAN MTN,3458,44.41861111,73.85944444,NY
96,CELLAR MTN,3455,43.71194444,74.54277778,NY
97,PUFFER MTN,3451,43.66138889,74.2,NY
98,BLUE RIDGE (W PK),3451,43.92777778,73.82972222,NY
99,WOLF POND MTN,3442,43.98916667,73.87777778,NY
100,BLUE RIDGE (W PK),3428,43.787509,-74.504224,NY
101,BROWN POND,3419,43.74333333,74.41444444,NY
102,SAWTOOTH MTNS (NW PK),3415,44.20055556,74.16277778,NY
