Rank,Name,Elevation,Prominence,Latitude,Longitude,State
45,BLAKE PK,3986,591,44.08111111,-73.845,NY
46,MACNAUGHTON MTN,3982,849,44.13972222,-74.06472222,NY
47,GREEN MTN,3959,859,44.18194444,-73.715,NY
48,BLAKE PK (S PK),3953,200,44.07666667,-73.84694444,NY
49,CLIFF MTN,3943,482,44.10333333,-73.97555556,NY
50,MCDONNEL MTN,3940,250,44.08055556,-73.93472222,NY
51,SNOWY MTN,3901,2243,43.7,-74.38694444,NY
52,MOOSE MTN,3897,1388,44.35083333,-74.00361111,NY
53,UNNAMED (LOST POND PK),3891,463,44.16416667,-74.03472222,NY
54,KILBURN MTN,3881,1700,44.30277778,-73.8825,NY
55,BLUE RIDGE,3881,1096,43.62944444,-74.48222222,NY
56,NORTH RIVER MTNS (N PK),3877,1433,44.03527778,-73.9825,NY
57,PANTHER MTN,3861,1194,43.73666667,-74.39194444,NY
58,SENTINEL MTN,3858,332,44.30611111,-73.85277778,NY
59,SAWTOOTH MTNS (M PK) (SAWTOOTH 1),3854,1476,44.18861111,-74.12166667,NY
60,RIST MTN,3854,262,44.02777778,-73.98777778,NY
61,HOWARD MTN,3848,256,44.15805556,-73.89138889,NY
62,MCKENZIE MTN,3832,634,44.33611111,-74.03277778,NY
63,AVALANCHE MTN,3832,404,44.13611111,-73.97,NY
64,LYON MTN (NE PK),3830,2247,44.70305556,-73.86472222,NY
65,TR MTN,3822,328,44.14388889,-73.93583333,NY
66,LYON MTN AVERILL PK,3803,353,44.69277778,-73.88138889,NY
67,COUCHSACHRAGA PK,3792,266,44.09527778,-74.16055556,NY
68,SAWTOOTH MTNS (W PK) (SAWTOOTH 2),3789,492,44.1934,-74.1399,NY
69,BUELL MTN,3789,433,43.71638889,-74.4075,NY
70,BOREAS MTN,3776,1135,44.00305556,-73.88111111,NY
71,WAKELY MTN,3766,1631,43.73694444,-74.51527778,NY
72,BLUE MTN,3750,1939,43.87222222,-74.40138889,NY
73,DONALDSON MTN (W PK),3734,210,44.15611111,-74.22916667,NY
74,LEWEY MTN,3730,827,43.66444444,-74.4425,NY
75,WALLFACE MTN,3727,594,44.13805556,-74.03722222,NY
76,HENDERSON MTN,3723,820,44.09777778,-74.09805556,NY
77,PANTHER MTN (S PK),3714,230,43.72527778,-74.39333333,NY
78,HOFFMAN MTN,3704,1962,43.91138889,-73.81888889,NY
79,SAWTOOTH MTNS (SSE PK) (SAWTOOTH 3),3694,627,44.1717,-74.1078,NY
80,CHENEY COBBLE,3684,584,44.04444444,-73.96527778,NY
81,HURRICANE MTN,3678,1988,44.235,-73.71083333,NY
82,SNOWY MTN (W PK),3652,207,43.69138889,-74.405,NY
83,LITTLE MOOSE MTN,3631,1220,43.67027778,-74.56972222,NY
84,CALAMITY MTN,3625,866,44.10305556,-74.00305556,NY
85,SUNRISE MTN,3618,354,44.02472222,-73.79083333,NY
86,STEWART MTN,3615,581,44.32611111,-73.85666667,NY
87,SADDLEBACK MTN,3615,1270,44.295,-73.66833333,NY
88,PILLSBURY MTN,3612,1083,43.58138889,-74.51166667,NY
89,DUN BROOK MTN,3605,1509,43.89777778,-74.32305556,NY
90,SLIDE MTN,3592,558,44.27638889,-73.88694444,NY
91,JAY MTNS,3592,426,44.31083333,-73.66666667,NY
92,GORE MTN,3573,1870,43.67333333,-74.04888889,NY
93,NOONMARK MTN,3556,784,44.12861111,-73.77277778,NY
94,BOREAS MTN (N PK),3547,211,44.021,-73.8803,NY
95,FISHING BROOK MTN,3546,505,43.93416667,-74.29527778,NY
96,MT ADAMS,3520,1043,44.08694444,-74.02611111,NY
97,LITTLE SANTANONI MTN,3503,469,44.07361111,-74.1675,NY
98,PITCHOFF MTN,3497,1152,44.23722222,-73.87777778,NY
99,FISHING BROOK RANGE,3494,394,43.9183,-74.3202,NY
100,BLUE RIDGE MTN,3494,378,43.9245,-73.8153,NY
101,BLUE RIDGE (S PK),3488,269,43.61472222,-74.47805556,NY
102,SEWARD MTNS (NW PK),3481,210,44.16944444,-74.21611111,NY
103,BLUE RIDGE (E PK),3474,1083,43.7948,-74.4551,NY
104,MANBURY MTN,3467,210,43.66555556,-74.55361111,NY
105,SAWTOOTH MTNS (SW PK) (SAWTOOTH 5),3461,295,44.17638889,-74.13388889,NY
106,PINNACLE RIDGE (N PK),3461,220,44.06027778,-73.86,NY
107,WILMINGTON RANGE,3458,391,44.4323,-73.8434,NY
108,MORGAN MTN,3458,1113,44.41861111,-73.85944444,NY
109,CELLAR MTN,3454,433,43.71194444,-74.54277778,NY
110,PUFFER MTN,3451,1670,43.66138889,-74.2,NY
