Rank,Name,Elevation,Prominence,Latitude,Longitude,State
1,MT MARCY,5344,4919,44.1125,-73.92416667,NY
2,ALGONQUIN PK,5114,2113,44.14361111,-73.98694444,NY
3,MT HAYSTACK,4961,843,44.10555556,-73.90111111,NY
4,MT SKYLIGHT,4925,577,44.09944444,-73.93138889,NY
5,WHITEFACE MTN,4865,3110,44.36555556,-73.90361111,NY
6,DIX MTN,4839,2822,44.08222222,-73.78666667,NY
7,BASIN MTN,4826,742,44.12111111,-73.88694444,NY
8,GOTHICS,4734,715,44.12777778,-73.85777778,NY
9,MT COLDEN,4715,892,44.12694444,-73.96055556,NY
10,GIANT MTN,4625,2969,44.16111111,-73.72055556,NY
11,NIPPLE TOP,4609,1378,44.08888889,-73.81638889,NY
12,SANTANONI PK,4606,2425,44.08222222,-74.13138889,NY
13,MT REDFIELD,4606,259,44.09472222,-73.95027778,NY
14,WRIGHT PK,4587,272,44.15166667,-73.98,NY
15,SADDLEBACK MTN,4527,377,44.12638889,-73.87527778,NY
16,PANTHER PK,4442,292,44.09833333,-74.13277778,NY
17,TABLE TOP MTN,4412,426,44.14055556,-73.91666667,NY
18,HOUGH PK,4409,390,44.06944444,-73.77805556,NY
19,MACOMB MTN,4390,600,44.05166667,-73.78027778,NY
20,ROCKY PEAK RIDGE,4383,627,44.15416667,-73.70583333,NY
21,MT MARSHALL,4379,525,44.1275,-74.0125,NY
22,SEWARD MTN,4347,2035,44.15972222,-74.2,NY
23,ALLEN MTN,4347,660,44.07083333,-73.94,NY
24,TABLE TOP MTN (E PK),4304,285,44.14361111,-73.90777778,NY
25,BIG SLIDE MTN,4249,1115,44.18222222,-73.87138889,NY
26,ESTHER MTN,4238,318,44.38694444,-73.89027778,NY
27,UPPER WOLFJAW MTN,4202,282,44.14027778,-73.84583333,NY
28,LOWER WOLFJAW MTN,4173,679,44.14805556,-73.83305556,NY
29,PHELPS MTN,4160,207,44.15694444,-73.92166667,NY
30,STREET MTN,4150,1280,44.17944444,-74.0275,NY
31,SAWTEETH,4150,492,44.11444444,-73.85055556,NY
32,CASCADE MTN,4097,1194,44.21833333,-73.86055556,NY
33,SEYMOUR MTN,4091,1024,44.15805556,-74.17277778,NY
34,PORTER MTN,4085,328,44.21222222,-73.85416667,NY
35,MT COLVIN,4084,754,44.09388889,-73.83472222,NY
36,YARD MTN,4009,220,44.17444444,-73.88527778,NY
37,GRACE PK (EAST DIX),4006,315,44.06527778,-73.75777778,NY
