Rank,Name,Elevation,Prominence,Latitude,Longitude,State
1,SLIDE MTN,4190,3295,41.99916667,-74.38611111,NY
2,HUNTER MTN,4050,2160,42.1775,-74.23083333,NY
3,BLACK DOME,3990,2080,42.27,-74.12333333,NY
4,THOMAS COLE MTN,3950,220,42.27083333,-74.13666667,NY
5,BLACKHEAD,3950,520,42.26777778,-74.10527778,NY
6,WEST KILL MTN,3890,1240,42.16777778,-74.29027778,NY
7,DOUBLETOP MTN,3870,1200,42.0275,-74.52861111,NY
8,CORNELL MTN,3870,620,42.00138889,-74.35722222,NY
9,GRAHAM MTN,3868,898,42.03944444,-74.54972222,NY
10,PLATEAU MTN,3850,1780,42.13805556,-74.17472222,NY
11,TABLE MTN,3847,657,41.95833333,-74.40527778,NY
12,SUGARLOAF MTN,3810,1200,42.13111111,-74.15083333,NY
13,WITTENBERG MTN,3790,240,42.00805556,-74.3475,NY
14,PANTHER MTN,3730,980,42.05833333,-74.39666667,NY
15,BALSAM LAKE MTN,3730,480,42.04555556,-74.595,NY
16,LONE MTN,3721,291,41.96916667,-74.38972222,NY
17,BIG INDIAN MTN,3710,520,42.035,-74.49722222,NY
18,FRIDAY MTN,3694,204,41.98777778,-74.3625,NY
19,RUSK MTN,3690,760,42.20055556,-74.27777778,NY
20,KAATERSKILL HIGH PK,3655,1705,42.16222222,-74.08055556,NY
21,TWIN MTN,3650,840,42.12555556,-74.12972222,NY
22,FIR MTN,3630,440,42.0275,-74.46944444,NY
23,BALSAM CAP,3623,253,41.97694444,-74.35777778,NY
24,NORTH DOME,3610,1160,42.17361111,-74.34944444,NY
25,EAGLE MTN,3610,500,42.06166667,-74.51,NY
26,BEARPEN MTN,3610,1700,42.265,-74.47416667,NY
27,BALSAM MTN,3610,253,42.09055556,-74.48833333,NY
28,INDIAN HEAD MTN,3573,463,42.11638889,-74.115,NY
29,MT SHERRILL,3550,540,42.17555556,-74.37333333,NY
30,HALCOTT MTN,3530,720,42.18027778,-74.43833333,NY
31,VLY MTN,3529,659,42.24583333,-74.44861111,NY
32,WINDHAM HIGH PK,3524,754,42.31472222,-74.14361111,NY
33,ROCKY MTN,3508,218,41.97277778,-74.37333333,NY
