Rank,Name,Elevation,Latitude,Longitude,State
1,SLIDE MTN,4190,41.99916667,-74.38611111,NY
2,HUNTER MTN,4050,42.1775,-74.23083333,NY
3,BLACK DOME,3990,42.27,-74.12333333,NY
4,THOMAS COLE MTN,3950,42.27083333,-74.13666667,NY
5,BLACKHEAD,3950,42.26777778,-74.10527778,NY
6,WEST KILL MTN,3890,42.16777778,-74.29027778,NY
7,DOUBLETOP MTN,3870,42.0275,-74.52861111,NY
8,CORNELL MTN,3870,42.00138889,-74.35722222,NY
9,GRAHAM MTN,3868,42.03944444,-74.54972222,NY
10,PLATEAU MTN,3850,42.13805556,-74.17472222,NY
11,TABLE MTN,3847,41.95833333,-74.40527778,NY
12,PEEKAMOOSE MTN,3843,41.95305556,-74.39861111,NY
13,SUGARLOAF MTN,3810,42.13111111,-74.15083333,NY
14,WITTENBERG MTN,3790,42.00805556,-74.3475,NY
15,HUNTER MTN (SW PK),3750,42.1625,-74.24416667,NY
16,PANTHER MTN,3730,42.05833333,-74.39666667,NY
17,BALSAM LAKE MTN,3730,42.04555556,-74.595,NY
18,LONE MTN,3721,41.96916667,-74.38972222,NY
19,BIG INDIAN MTN,3710,42.035,-74.49722222,NY
20,FRIDAY MTN,3694,41.98777778,-74.3625,NY
21,RUSK MTN,3690,42.20055556,-74.27777778,NY
22,KAATERSKILL HIGH PK,3655,42.16222222,-74.08055556,NY
23,TWIN MTN,3650,42.12555556,-74.12972222,NY
24,FIR MTN,3630,42.0275,-74.46944444,NY
25,BALSAM CAP,3623,41.97694444,-74.35777778,NY
26,NORTH DOME,3610,42.17361111,-74.34944444,NY
27,EAGLE MTN,3610,42.06166667,-74.51,NY
28,BEARPEN MTN,3610,42.265,-74.47416667,NY
29,BALSAM MTN,3610,42.09055556,-74.48833333,NY
30,INDIAN HEAD MTN,3573,42.11638889,-74.115,NY
31,MT SHERRILL,3550,42.17555556,-74.37333333,NY
32,HALCOTT MTN,3530,42.18027778,-74.43833333,NY
33,VLY MTN,3529,42.24583333,-74.44861111,NY
34,WINDHAM HIGH PK,3524,42.31472222,-74.14361111,NY
35,ROCKY MTN,3508,41.97277778,-74.37333333,NY
36,MILL BROOK RIDGE (E PK),3490,42.0525,-74.63333333,NY
37,WOODPECKER RIDGE,3470,42.04,-74.61777778,NY
38,DRY BROOK RIDGE,3470,42.11277778,-74.60472222,NY
39,ROUNDTOP MTN,3450,42.16833333,-74.09527778,NY
40,ROUNDTOP,3450,42.29388889,-74.49083333,NY
41,OLDERBARK MTN,3450,42.11611111,-74.18888889,NY
42,WEST KILL MTN (W PK),3430,42.17138889,-74.32083333,NY
43,STOPPEL POINT,3430,42.225,-74.06555556,NY
44,BELLE AYR MTN,3430,42.12861111,-74.51944444,NY
