Rank,Name,Elevation,Prominence,Latitude,Longitude,State
35,MILL BROOK RIDGE (E PK),3490,380,42.0525,-74.63333333,NY
36,WOODPECKER RIDGE,3470,320,42.04,-74.61777778,NY
37,DRY BROOK RIDGE,3470,860,42.11277778,-74.60472222,NY
38,ROUNDTOP MTN,3450,260,42.1685,-74.095,NY
39,ROUNDTOP,3450,360,42.29388889,-74.49083333,NY
40,STOPPEL POINT,3430,920,42.225,-74.06555556,NY
41,BELLE AYR MTN,3430,580,42.12861111,-74.51944444,NY
42,HUNTERSFIELD MTN,3423,1493,42.35555556,-74.34638889,NY
43,BEARPEN MTN (S PK),3410,300,42.24638889,-74.49277778,NY
44,HALCOTT MTN (N PK),3408,418,42.1975,-74.4175,NY
45,SPRUCE MTN,3390,280,42.0175,-74.45055556,NY
46,BEAVER KILL RANGE (SW PK),3377,687,41.99361111,-74.59166667,NY
47,VLY MTN (S PK),3370,260,42.22916667,-74.43861111,NY
48,WILDCAT MTN (E PK),3350,280,41.98777778,-74.44083333,NY
49,PLATTEKILL MTN (N PK),3350,1780,42.28555556,-74.66388889,NY
50,MT PISGAH,3345,895,42.22083333,-74.73638889,NY
51,SHULTICE MTN,3290,660,42.31861111,-74.51611111,NY
52,UNNAMED (WINNISOOK LAKE PK),3270,220,42.01777778,-74.42,NY
53,PLATTEKILL MTN,3270,380,42.26638889,-74.64861111,NY
54,MORESVILLE RANGE (N PK),3250,700,42.37444444,-74.565,NY
55,UNNAMED (NARROW NOTCH PK),3230,740,42.33416667,-74.61666667,NY
56,RICHMOND MTN,3230,580,42.36722222,-74.27944444,NY
57,ONTEORA MTN,3230,840,42.22222222,-74.16833333,NY
58,MONGAUP MTN (NE PK),3224,394,41.99,-74.62888889,NY
59,UTSAYANTHA MTN,3214,544,42.39888889,-74.59,NY
60,UNNAMED (HIGH FALLS PK),3211,281,41.99194444,-74.54555556,NY
61,VAN WYCK MTN,3206,356,41.95222222,-74.43583333,NY
62,BURNT KNOB,3190,300,42.30194444,-74.11972222,NY
63,MONGAUP MTN,3177,627,41.99333333,-74.7,NY
64,WILDCAT MTN (W PK),3170,260,41.9775,-74.47611111,NY
65,CRADLE ROCK RIDGE,3170,380,42.03444444,-74.66194444,NY
66,WHITE MAN MTN,3150,340,42.28416667,-74.53416667,NY
67,PINE ISLAND MTN,3150,580,42.22,-74.33305556,NY
68,OVERLOOK MTN,3150,640,42.085,-74.09333333,NY
69,EAST JEWETT RANGE,3150,860,42.23277778,-74.19861111,NY
70,STOPPEL POINT (W PK),3110,300,42.22416667,-74.10111111,NY
71,RED KILL RIDGE,3110,580,42.22888889,-74.53833333,NY
72,PLATTEKILL MTN,3110,520,42.10722222,-74.08638889,NY
73,PACKSADDLE MTN,3110,500,42.2175,-74.35916667,NY
74,COWAN MTN (SW PK),3110,620,42.34,-74.65583333,NY
75,CAVE MTN (E PK),3110,1160,42.28583333,-74.24694444,NY
76,BARKABOOM MTN (E PK),3110,480,42.06194444,-74.70277778,NY
77,ACRA POINT,3110,240,42.29638889,-74.10055556,NY
78,ROSE MTN,3090,780,42.15055556,-74.43833333,NY
79,HIGH POINT,3090,1420,41.92472222,-74.28805556,NY
80,ROUND TOP,3070,300,42.27138889,-74.68361111,NY
81,IRISH MTN,3070,240,42.33555556,-74.52638889,NY
82,CHURCHILL MTN,3070,540,42.38861111,-74.61055556,NY
83,MONGAUP MTN (E PK),3062,292,41.985,-74.64888889,NY
84,DENMAN MTN,3053,763,41.90277778,-74.53972222,NY
85,WOODHULL MTN,3050,400,41.94555556,-74.46416667,NY
86,MORESVILLE RANGE (S PK),3050,300,42.35555556,-74.56611111,NY
87,CAVE MTN (W PK),3050,240,42.28444444,-74.26472222,NY
88,MT WARREN (SE PK),3030,440,42.30583333,-74.69166667,NY
89,MT PISGAH (S PK),3030,240,42.19888889,-74.72361111,NY
90,LITTLE ROCKY MTN,3015,945,41.91833333,-74.33277778,NY
91,UNNAMED (SILVER HOLLOW PK),3010,660,42.1225,-74.2275,NY
92,OLD CLUMP,3010,300,42.30583333,-74.59194444,NY
93,HUBBELL HILL,3010,640,42.21583333,-74.64916667,NY
