Rank,Name,Elevation,Prominence,Latitude,Longitude,State
1,MT MARCY,5344,4919,44.1125,-73.92416667,NY
2,ALGONQUIN PK,5114,2113,44.14361111,-73.98694444,NY
3,MT HAYSTACK,4961,843,44.10555556,-73.90111111,NY
4,MT SKYLIGHT,4925,577,44.09944444,-73.93138889,NY
5,WHITEFACE MTN,4865,3110,44.36555556,-73.90361111,NY
6,DIX MTN,4839,2822,44.08222222,-73.78666667,NY
7,BASIN MTN,4826,742,44.12111111,-73.88694444,NY
8,GOTHICS,4734,715,44.12777778,-73.85777778,NY
9,MT COLDEN,4715,892,44.12694444,-73.96055556,NY
10,GIANT MTN,4625,2969,44.16111111,-73.72055556,NY
11,NIPPLE TOP,4609,1378,44.08888889,-73.81638889,NY
12,SANTANONI PK,4606,2425,44.08222222,-74.13138889,NY
13,MT REDFIELD,4606,259,44.09472222,-73.95027778,NY
14,WRIGHT PK,4587,272,44.15166667,-73.98,NY
15,SADDLEBACK MTN,4527,377,44.12638889,-73.87527778,NY
16,PANTHER PK,4442,292,44.09833333,-74.13277778,NY
17,TABLE TOP MTN,4412,426,44.14055556,-73.91666667,NY
18,HOUGH PK,4409,390,44.06944444,-73.77805556,NY
19,MACOMB MTN,4390,600,44.05166667,-73.78027778,NY
20,ROCKY PEAK RIDGE,4383,627,44.15416667,-73.70583333,NY
21,MT MARSHALL,4379,525,44.1275,-74.0125,NY
22,SEWARD MTN,4347,2035,44.15972222,-74.2,NY
23,ALLEN MTN,4347,660,44.07083333,-73.94,NY
24,TABLE TOP MTN (E PK),4304,285,44.14361111,-73.90777778,NY
25,BIG SLIDE MTN,4249,1115,44.18222222,-73.87138889,NY
26,ESTHER MTN,4238,318,44.38694444,-73.89027778,NY
27,UPPER WOLFJAW MTN,4202,282,44.14027778,-73.84583333,NY
28,SLIDE MTN,4190,3295,41.99916667,-74.38611111,NY
29,LOWER WOLFJAW MTN,4173,679,44.14805556,-73.83305556,NY
30,PHELPS MTN,4160,207,44.15694444,-73.92166667,NY
31,STREET MTN,4150,1280,44.17944444,-74.0275,NY
32,SAWTEETH,4150,492,44.11444444,-73.85055556,NY
33,CASCADE MTN,4097,1194,44.21833333,-73.86055556,NY
34,SEYMOUR MTN,4091,1024,44.15805556,-74.17277778,NY
35,PORTER MTN,4085,328,44.21222222,-73.85416667,NY
36,MT COLVIN,4084,754,44.09388889,-73.83472222,NY
37,HUNTER MTN,4050,2160,42.1775,-74.23083333,NY
38,YARD MTN,4009,220,44.17444444,-73.88527778,NY
39,GRACE PK (EAST DIX),4006,315,44.06527778,-73.75777778,NY
40,BLACK DOME,3990,2080,42.27,-74.12333333,NY
41,BLAKE PK,3986,591,44.08111111,-73.845,NY
42,MACNAUGHTON MTN,3982,849,44.13972222,-74.06472222,NY
43,GREEN MTN,3959,859,44.18194444,-73.715,NY
44,BLAKE PK (S PK),3953,200,44.07666667,-73.84694444,NY
45,THOMAS COLE MTN,3950,220,42.27083333,-74.13666667,NY
46,BLACKHEAD,3950,520,42.26777778,-74.10527778,NY
47,CLIFF MTN,3943,482,44.10333333,-73.97555556,NY
48,MCDONNEL MTN,3940,250,44.08055556,-73.93472222,NY
49,SNOWY MTN,3901,2243,43.7,-74.38694444,NY
50,MOOSE MTN,3897,1388,44.35083333,-74.00361111,NY
51,UNNAMED (LOST POND PK),3891,463,44.16416667,-74.03472222,NY
52,WEST KILL MTN,3890,1240,42.16777778,-74.29027778,NY
53,KILBURN MTN,3881,1700,44.30277778,-73.8825,NY
54,BLUE RIDGE,3881,1096,43.62944444,-74.48222222,NY
55,NORTH RIVER MTNS (N PK),3877,1433,44.03527778,-73.9825,NY
56,DOUBLETOP MTN,3870,1200,42.0275,-74.52861111,NY
57,CORNELL MTN,3870,620,42.00138889,-74.35722222,NY
58,GRAHAM MTN,3868,898,42.03944444,-74.54972222,NY
59,PANTHER MTN,3861,1194,43.73666667,-74.39194444,NY
60,SENTINEL MTN,3858,332,44.30611111,-73.85277778,NY
61,SAWTOOTH MTNS (M PK) (SAWTOOTH 1),3854,1476,44.18861111,-74.12166667,NY
62,RIST MTN,3854,262,44.02777778,-73.98777778,NY
63,PLATEAU MTN,3850,1780,42.13805556,-74.17472222,NY
64,HOWARD MTN,3848,256,44.15805556,-73.89138889,NY
65,TABLE MTN,3847,657,41.95833333,-74.40527778,NY
66,MCKENZIE MTN,3832,634,44.33611111,-74.03277778,NY
67,AVALANCHE MTN,3832,404,44.13611111,-73.97,NY
68,LYON MTN (NE PK),3830,2247,44.70305556,-73.86472222,NY
69,TR MTN,3822,328,44.14388889,-73.93583333,NY
70,SUGARLOAF MTN,3810,1200,42.13111111,-74.15083333,NY
71,LYON MTN AVERILL PK,3803,353,44.69277778,-73.88138889,NY
72,COUCHSACHRAGA PK,3792,266,44.09527778,-74.16055556,NY
73,WITTENBERG MTN,3790,240,42.00805556,-74.3475,NY
74,SAWTOOTH MTNS (W PK) (SAWTOOTH 2),3789,492,44.1934,-74.1399,NY
75,BUELL MTN,3789,433,43.71638889,-74.4075,NY
76,BOREAS MTN,3776,1135,44.00305556,-73.88111111,NY
77,WAKELY MTN,3766,1631,43.73694444,-74.51527778,NY
78,HUNTER MTN (SW PK),3750,200,42.1625,-74.24416667,NY
79,BLUE MTN,3750,1939,43.87222222,-74.40138889,NY
80,DONALDSON MTN (W PK),3734,210,44.15611111,-74.22916667,NY
81,PANTHER MTN,3730,980,42.05833333,-74.39666667,NY
82,LEWEY MTN,3730,827,43.66444444,-74.4425,NY
83,BALSAM LAKE MTN,3730,480,42.04555556,-74.595,NY
84,WALLFACE MTN,3727,594,44.13805556,-74.03722222,NY
85,HENDERSON MTN,3723,820,44.09777778,-74.09805556,NY
86,LONE MTN,3721,291,41.96916667,-74.38972222,NY
87,PANTHER MTN (S PK),3714,230,43.72527778,-74.39333333,NY
88,BIG INDIAN MTN,3710,520,42.035,-74.49722222,NY
89,HOFFMAN MTN,3704,1962,43.91138889,-73.81888889,NY
90,SAWTOOTH MTNS (SSE PK) (SAWTOOTH 3),3694,627,44.1717,-74.1078,NY
91,FRIDAY MTN,3694,204,41.98777778,-74.3625,NY
92,RUSK MTN,3690,760,42.20055556,-74.27777778,NY
93,CHENEY COBBLE,3684,584,44.04444444,-73.96527778,NY
94,HURRICANE MTN,3678,1988,44.235,-73.71083333,NY
95,KAATERSKILL HIGH PK,3655,1705,42.16222222,-74.08055556,NY
96,SNOWY MTN (W PK),3652,207,43.69138889,-74.405,NY
97,TWIN MTN,3650,840,42.12555556,-74.12972222,NY
98,LITTLE MOOSE MTN,3631,1220,43.67027778,-74.56972222,NY
99,FIR MTN,3630,440,42.0275,-74.46944444,NY
100,CALAMITY MTN,3625,866,44.10305556,-74.00305556,NY
101,BALSAM CAP,3623,253,41.97694444,-74.35777778,NY
102,SUNRISE MTN,3618,354,44.02472222,-73.79083333,NY
103,STEWART MTN,3615,581,44.32611111,-73.85666667,NY
104,SADDLEBACK MTN,3615,1270,44.295,-73.66833333,NY
105,PILLSBURY MTN,3612,1083,43.58138889,-74.51166667,NY
106,NORTH DOME,3610,1160,42.17361111,-74.34944444,NY
107,EAGLE MTN,3610,500,42.06166667,-74.51,NY
108,BEARPEN MTN,3610,1700,42.265,-74.47416667,NY
109,BALSAM MTN,3610,253,42.09055556,-74.48833333,NY
110,DUN BROOK MTN,3605,1509,43.89777778,-74.32305556,NY
111,SLIDE MTN,3592,558,44.27638889,-73.88694444,NY
112,JAY MTNS,3592,426,44.31083333,-73.66666667,NY
113,INDIAN HEAD MTN,3573,463,42.11638889,-74.115,NY
114,GORE MTN,3573,1870,43.67333333,-74.04888889,NY
115,NOONMARK MTN,3556,784,44.12861111,-73.77277778,NY
116,MT SHERRILL,3550,540,42.17555556,-74.37333333,NY
117,BOREAS MTN (N PK),3547,211,44.021,-73.8803,NY
118,FISHING BROOK MTN,3546,505,43.93416667,-74.29527778,NY
119,HALCOTT MTN,3530,720,42.18027778,-74.43833333,NY
120,VLY MTN,3529,659,42.24583333,-74.44861111,NY
121,WINDHAM HIGH PK,3524,754,42.31472222,-74.14361111,NY
122,MT ADAMS,3520,1043,44.08694444,-74.02611111,NY
123,ROCKY MTN,3508,218,41.97277778,-74.37333333,NY
124,LITTLE SANTANONI MTN,3503,469,44.07361111,-74.1675,NY
125,PITCHOFF MTN,3497,1152,44.23722222,-73.87777778,NY
126,FISHING BROOK RANGE,3494,394,43.9183,-74.3202,NY
127,BLUE RIDGE MTN,3494,378,43.9245,-73.8153,NY
128,MILL BROOK RIDGE (E PK),3490,380,42.0525,-74.63333333,NY
