Rank,Name,Elevation,Prominence,Latitude,Longitude,State
71,BLACK DOME,3990,2080,42.27,-74.12333333,NY
72,BLAKE PK,3986,591,44.08111111,-73.845,NY
73,MACNAUGHTON MTN,3982,849,44.13972222,-74.06472222,NY
74,GREEN MTN,3959,859,44.18194444,-73.715,NY
75,THOMAS COLE MTN,3950,220,42.27083333,-74.13666667,NY
76,BLACKHEAD,3950,520,42.26777778,-74.10527778,NY
77,CLIFF MTN,3943,482,44.10333333,-73.97555556,NY
78,MCDONNEL MTN,3940,250,44.08055556,-73.93472222,NY
79,SNOWY MTN,3901,2243,43.7,-74.38694444,NY
80,MOOSE MTN,3897,1388,44.35083333,-74.00361111,NY
81,UNNAMED (LOST POND PK),3891,463,44.16416667,-74.03472222,NY
82,WEST KILL MTN,3890,1240,42.16777778,-74.29027778,NY
83,KILBURN MTN,3881,1700,44.30277778,-73.8825,NY
84,BLUE RIDGE,3881,1096,43.62944444,-74.48222222,NY
85,NORTH RIVER MTNS (N PK),3877,1433,44.03527778,-73.9825,NY
86,DOUBLETOP MTN,3870,1200,42.0275,-74.52861111,NY
87,CORNELL MTN,3870,620,42.00138889,-74.35722222,NY
88,GRAHAM MTN,3868,898,42.03944444,-74.54972222,NY
89,PANTHER MTN,3861,1194,43.73666667,-74.39194444,NY
90,SENTINEL MTN,3858,332,44.30611111,-73.85277778,NY
91,SAWTOOTH MTNS (M PK) (SAWTOOTH 1),3854,1476,44.18861111,-74.12166667,NY
92,RIST MTN,3854,262,44.02777778,-73.98777778,NY
93,PLATEAU MTN,3850,1780,42.13805556,-74.17472222,NY
94,HOWARD MTN,3848,256,44.15805556,-73.89138889,NY
95,TABLE MTN,3847,657,41.95833333,-74.40527778,NY
96,MCKENZIE MTN,3832,634,44.33611111,-74.03277778,NY
97,AVALANCHE MTN,3832,404,44.13611111,-73.97,NY
98,LYON MTN (NE PK),3830,2247,44.70305556,-73.86472222,NY
99,TR MTN,3822,328,44.14388889,-73.93583333,NY
100,SUGARLOAF MTN,3810,1200,42.13111111,-74.15083333,NY
101,LYON MTN AVERILL PK,3803,353,44.69277778,-73.88138889,NY
102,COUCHSACHRAGA PK,3792,266,44.09527778,-74.16055556,NY
103,WITTENBERG MTN,3790,240,42.00805556,-74.3475,NY
104,SAWTOOTH MTNS (W PK) (SAWTOOTH 2),3789,492,44.1934,-74.1399,NY
105,BUELL MTN,3789,433,43.71638889,-74.4075,NY
106,BOREAS MTN,3776,1135,44.00305556,-73.88111111,NY
107,WAKELY MTN,3766,1631,43.73694444,-74.51527778,NY
108,BLUE MTN,3750,1939,43.87222222,-74.40138889,NY
109,DONALDSON MTN (W PK),3734,210,44.15611111,-74.22916667,NY
110,PANTHER MTN,3730,980,42.05833333,-74.39666667,NY
111,LEWEY MTN,3730,827,43.66444444,-74.4425,NY
112,BALSAM LAKE MTN,3730,480,42.04555556,-74.595,NY
113,WALLFACE MTN,3727,594,44.13805556,-74.03722222,NY
114,HENDERSON MTN,3723,820,44.09777778,-74.09805556,NY
115,LONE MTN,3721,291,41.96916667,-74.38972222,NY
116,PANTHER MTN (S PK),3714,230,43.72527778,-74.39333333,NY
117,BIG INDIAN MTN,3710,520,42.035,-74.49722222,NY
118,HOFFMAN MTN,3704,1962,43.91138889,-73.81888889,NY
119,SAWTOOTH MTNS (SSE PK) (SAWTOOTH 3),3694,627,44.1717,-74.1078,NY
120,FRIDAY MTN,3694,204,41.98777778,-74.3625,NY
121,RUSK MTN,3690,760,42.20055556,-74.27777778,NY
122,CHENEY COBBLE,3684,584,44.04444444,-73.96527778,NY
123,HURRICANE MTN,3678,1988,44.235,-73.71083333,NY
124,KAATERSKILL HIGH PK,3655,1705,42.16222222,-74.08055556,NY
125,SNOWY MTN (W PK),3652,207,43.69138889,-74.405,NY
126,TWIN MTN,3650,840,42.12555556,-74.12972222,NY
127,LITTLE MOOSE MTN,3631,1220,43.67027778,-74.56972222,NY
128,FIR MTN,3630,440,42.0275,-74.46944444,NY
129,CALAMITY MTN,3625,866,44.10305556,-74.00305556,NY
130,BALSAM CAP,3623,253,41.97694444,-74.35777778,NY
131,SUNRISE MTN,3618,354,44.02472222,-73.79083333,NY
132,STEWART MTN,3615,581,44.32611111,-73.85666667,NY
