Name,Elevation,Latitude,Longitude,State
MT MARCY,5344,44.1125,-73.92416667,NY
ALGONQUIN PK,5115,44.14361111,-73.98694444,NY
MT HAYSTACK,4961,44.10555556,-73.90111111,NY
MT SKYLIGHT,4925,44.09944444,-73.93138889,NY
WHITEFACE MTN,4865,44.36555556,-73.90361111,NY
IROQUOIS PK,4849,44.13694444,-73.99861111,NY
DIX MTN,4839,44.08222222,-73.78666667,NY
GRAY PEAK,4826,44.11138889,-73.93555556,NY
BASIN MTN,4826,44.12111111,-73.88694444,NY
GOTHICS,4734,44.12777778,-73.85777778,NY
MT COLDEN,4715,44.12694444,-73.96055556,NY
GIANT MTN,4626,44.16111111,-73.72055556,NY
NIPPLE TOP,4610,44.08888889,-73.81638889,NY
SANTANONI PK,4606,44.08222222,-74.13138889,NY
MT REDFIELD,4606,44.09472222,-73.95027778,NY
WRIGHT PK,4587,44.15166667,-73.98,NY
SADDLEBACK MTN,4528,44.12638889,-73.87527778,NY
ARMSTRONG MTN,4446,44.13444444,-73.85,NY
PANTHER PK,4442,44.09833333,-74.13277778,NY
TABLE TOP MTN,4413,44.14055556,-73.91666667,NY
HOUGH PK,4409,44.06944444,-73.77805556,NY
MACOMB MTN,4390,44.05166667,-73.78027778,NY
ROCKY PEAK RIDGE,4383,44.15416667,-73.70583333,NY
MT MARSHALL,4380,44.1275,-74.0125,NY
SEWARD MTN,4347,44.15972222,-74.2,NY
ALLEN MTN,4347,44.07083333,-73.94,NY
TABLE TOP MTN (E PK),4304,44.14361111,-73.90777778,NY
BIG SLIDE MTN,4249,44.18222222,-73.87138889,NY
ESTHER MTN,4239,44.38694444,-73.89027778,NY
UPPER WOLFJAW MTN,4203,44.14027778,-73.84583333,NY
LOWER WOLFJAW MTN,4173,44.14805556,-73.83305556,NY
PHELPS MTN,4160,44.15694444,-73.92166667,NY
STREET MTN,4150,44.17944444,-74.0275,NY
SAWTEETH,4150,44.11444444,-73.85055556,NY
DONALDSON MTN,4108,44.15388889,-74.21194444,NY
CASCADE MTN,4098,44.21833333,-73.86055556,NY
SEYMOUR MTN,4091,44.15805556,-74.17277778,NY
SOUTH DIX,4085,44.06,-73.77472222,NY
PORTER MTN,4085,44.21222222,-73.85416667,NY
MT COLVIN,4085,44.09388889,-73.83472222,NY
MT EMMONS,4039,44.14388889,-74.21472222,NY
DIAL MTN,4019,44.10583333,-73.79666667,NY
YARD MTN,4009,44.17444444,-73.88527778,NY
EAST DIX,4006,44.06527778,-73.75777778,NY
BLAKE PK,3986,44.08111111,-73.845,NY
MACNAUGHTON MTN,3983,44.13972222,-74.06472222,NY
GREEN MTN,3960,44.18194444,-73.715,NY
BLAKE PK (S PK),3953,44.07666667,-73.84694444,NY
CLIFF MTN,3944,44.10333333,-73.97555556,NY
MCDONNEL MTN,3940,44.08055556,-73.93472222,NY
