Rank,Name,Elevation,Latitude,Longitude,State
68,SANDWICH MTN,3980,43.90027778,-71.49861111,NH
69,SOUTH BROTHER,3970,45.94416667,-69.00222222,ME
70,SNOW MTN,3960,45.29138889,-70.70972222,ME
71,PICO PK,3957,43.63944444,-72.83694444,VT
72,THE BULGE,3950,44.51444444,-71.40861111,NH
73,STRATTON MTN,3940,43.08611111,-72.92555556,VT
74,MT NANCY,3926,44.12222222,-71.405,NH
75,THE HORN,3905,44.51777778,-71.40055556,NH
76,MT WEEKS (N PK),3901,44.46138889,-71.38222222,NH
77,MT WEEKS (S PK),3885,44.44222222,-71.38888889,NH
78,GOOSE EYE MTN,3870,44.50277778,-71,ME
79,FORT MTN,3867,45.96194444,-68.97527778,ME
80,VOSE SPUR,3862,44.10277778,-71.435,NH
81,THE SLEEPERS (E PK),3860,43.94666667,-71.42583333,NH
82,JAY PK,3858,44.92444444,-72.52638889,VT
83,WHITE CAP MTN,3856,45.23611111,-70.81833333,ME
84,PANTHER,3855,45.26722222,-70.84166667,ME
85,EQUINOX MTN,3850,43.16583333,-73.11805556,VT
86,MENDON PK,3840,43.595,-72.84666667,VT
87,BREAD LOAF MTN,3835,44.00194444,-72.94166667,VT
88,PEAK ABOVE THE NUBBLE,3813,44.22277778,-71.56194444,NH
89,"BIGELOW MTN, THE HORNS (S PK)",3805,45.145,-70.32361111,ME
90,MT COE,3795,45.93361111,-69.00944444,ME
91,EAST KENNEBAGO MTN,3791,45.12166667,-70.6,ME
92,MT WILSON,3790,44.00472222,-72.92611111,VT
93,"BALDPATE MTN, E PK",3790,44.60916667,-70.89277778,ME
94,BIG JAY,3786,44.915,-72.54111111,VT
95,SNOW MTN,3784,45.16916667,-70.82722222,ME
96,KENNEBAGO DIVIDE (N PK),3775,45.2225,-70.81611111,ME
97,SCAR RIDGE (W PK),3774,44.02916667,-71.59583333,NH
98,ELEPHANT MTN,3772,44.76805556,-70.78222222,ME
99,DORSET PK,3770,43.30916667,-73.02861111,VT
100,CANNON BALLS (NE PK),3769,44.15,-71.71055556,NH
