Rank,Name,Elevation,Latitude,Longitude,Prominence,State
1,MT WASHINGTON,6288,44.27055556,-71.30388889,6150,NH
2,"MT KATAHDIN, BAXTER PK",5268,45.90416667,-68.92194444,4290,ME
3,MT MANSFIELD (CHIN),4393,44.54361111,-72.81472222,3640,VT
4,MT LAFAYETTE,5260,44.16055556,-71.645,3360,NH
5,KILLINGTON PK,4235,43.60444444,-72.82055556,3320,VT
6,SUGARLOAF MTN,4250,45.03166667,-70.31361111,3180,ME
7,EQUINOX MTN,3850,43.16583333,-73.11805556,3060,VT
8,JAY PK,3858,44.92444444,-72.52638889,2975,VT
9,MT MOOSILAUKE,4802,44.02333333,-71.83194444,2932,NH
10,BIGELOW MTN WEST PK,4145,45.14666667,-70.28861111,2855,ME
11,DORSET PK,3770,43.30916667,-73.02861111,2840,VT
12,CARTER DOME,4832,44.26722222,-71.17972222,2821,NH
13,OLD SPECK MTN,4170,44.57083333,-70.95416667,2720,ME
14,MT CABOT,4170,44.50583333,-71.41472222,2670,NH
15,WHITE CAP MTN,3654,45.55444444,-69.24722222,2610,ME
16,COBURN MTN,3730,45.46861111,-70.12694444,2510,ME
17,MT PUTNAM (WORCESTER),3642,44.41833333,-72.63888889,2470,VT
18,MT GREYLOCK,3488,42.63722222,-73.16638889,2470,MA
19,SADDLEBACK MTN,4120,44.93638889,-70.505,2446,ME
20,KINSMAN MTN (S PK),4358,44.12277778,-71.73694444,2420,NH
21,STRATTON MTN,3940,43.08611111,-72.92555556,2410,VT
22,TRAVELER MTN (THE TRAVELER),3551,46.07277778,-68.845,2340,ME
23,SNOW MTN,3960,45.29138889,-70.70972222,2330,ME
24,MT SHAW,2990,43.74394,-71.274112,2320,NH
25,MT ASCUTNEY,3140,43.44361111,-72.455,2290,VT
26,KIBBY MTN,3654,45.41861111,-70.54472222,2260,ME
27,MT CARRIGAIN,4700,44.09361111,-71.4475,2240,NH
28,BALDPATE MTN (E PK),3790,44.60916667,-70.89277778,2240,ME
29,EAST MTN,3439,44.66472222,-71.77055556,2230,VT
30,GRASS MTN,3109,43.05277778,-73.22416667,2200,VT
31,SMARTS MTN,3238,43.82555556,-72.03916667,2190,NH
32,BAKER MTN,3521,45.57111111,-69.39444444,2190,ME
33,MONADNOCK MTN,3159,42.86083333,-72.10888889,2160,NH
34,COLD HOLLOW MTNS,3337,44.7875,-72.68944444,2160,VT
35,SIGNAL MTN,3370,44.20611111,-72.32555556,2140,VT
36,MT ELLEN,4083,44.15972222,-72.92916667,2132,VT
37,BIG SQUAW MTN,3194,45.48388889,-69.71194444,2130,ME
38,MT KEARSARGE,2937,43.383245,-71.857142,2100,NH
39,DOUBLETOP MTN,3489,45.93583333,-69.06166667,2080,ME
40,ELEPHANT MTN,3772,44.76805556,-70.78222222,2060,ME
41,MT OSCEOLA,4340,44.00166667,-71.53638889,2040,NH
42,BOUNDARY BALD MTN,3630,45.76666667,-70.20416667,2010,ME
43,GORE MTN,3332,44.91972222,-71.79416667,1982,VT
44,MT CARDIGAN,3155,43.64916667,-71.91472222,1922,NH
45,BIG SPENCER MTN,3210,45.77555556,-69.44361111,1920,ME
46,CAMELS HUMP,4090,44.31944444,-72.88666667,1880,VT
47,SADDLEBACK MTN,2998,45.509482,-69.135994,1850,ME
48,BELKNAP MTN,2382,43.518001,-71.369388,1850,NH
49,MT BLUE,3190,44.72805556,-70.3425,1840,ME
50,MOXIE MTN,2930,45.206782,-69.893914,1820,ME
51,ADAMS MTN,3214,44.04361111,-72.80916667,1804,VT
52,EAST KENNEBAGO MTN,3791,45.12166667,-70.6,1801,ME
53,BUNNEL MTN (BLUE MTN),3730,44.79138889,-71.47916667,1800,NH
54,BOLTON MTN,3690,44.44916667,-72.84027778,1800,VT
55,JACKSON MTN,3568,44.76222222,-70.52055556,1798,ME
56,LITTLE SPENCER MTN,3070,45.75833333,-69.53277778,1780,ME
57,BALD MTN,3310,44.76611111,-71.98888889,1780,VT
58,KEARSARGE NORTH,3268,44.10583333,-71.09444444,1758,NH
59,MT TECUMSEH,4003,43.96638889,-71.55694444,1743,NH
60,SPRUCE MTN,2416,44.4076,-70.5845,1726,ME
61,NORTH TURNER MTN,3325,45.9725,-68.84444444,1715,ME
62,LONG MTN (M PK),3661,44.6799,-71.3794,1711,NH
63,CHASE,2439,46.1086,-68.4779,1709,ME
64,MT FIELD,4340,44.19611111,-71.43388889,1702,NH
65,AZISCOHOS/LOW AZISCOHOS MTN,3190,44.91416667,-71.0025,1640,ME
66,UNNAMED (W RUTLAND),2110,43.623774,-73.085175,1620,VT
67,EVERETT,2613,42.102,-73.4325,1619,MA
68,BURKE MTN,3270,44.57055556,-71.89333333,1600,VT
69,JO-MARY MTN,2905,45.6178,-69.0619,1595,ME
70,MT TREMONT,3371,44.05333333,-71.3575,1591,NH
71,CHERRY MTN (MT MARTHA),3572,44.33083333,-71.49972222,1574,NH
72,SPOTTED MTN (M PK),3401,45.04111111,-70.71861111,1571,ME
73,BELVIDERE MTN,3356,44.77305556,-72.55138889,1564,VT
74,STERLING MTN (WHITE FACE MTN),3713,44.58222222,-72.74027778,1543,VT
75,WYMAN,2990,44.6814,-70.835,1540,ME
