Rank,Name,Elevation,Prominence,Latitude,Longitude,State
68,SANDWICH MTN,3980,,43.90027778,-71.49861111,NH
69,SOUTH BROTHER,3970,,45.94416667,-69.00222222,ME
70,SNOW MTN,3960,2330,45.29138889,-70.70972222,ME
71,PICO PK,3957,,43.63944444,-72.83694444,VT
72,THE BULGE,3950,,44.51444444,-71.40861111,NH
73,STRATTON MTN,3940,2415,43.08611111,-72.92555556,VT
74,MT NANCY,3926,,44.12222222,-71.405,NH
75,THE HORN,3905,,44.51777778,-71.40055556,NH
76,MT WEEKS (N PK),3901,,44.46138889,-71.38222222,NH
77,MT WEEKS (S PK),3885,,44.44222222,-71.38888889,NH
78,THE SLEEPERS (W PK),3881,,43.95416667,-71.43583333,NH
79,GOOSE EYE MTN,3870,,44.50277778,-71,ME
80,FORT MTN,3867,,45.96194444,-68.97527778,ME
81,VOSE SPUR,3862,,44.10277778,-71.435,NH
82,THE SLEEPERS (E PK),3860,,43.94666667,-71.42583333,NH
83,JAY PK,3858,2970,44.92444444,-72.52638889,VT
84,WHITE CAP MTN,3856,,45.23611111,-70.81833333,ME
85,PANTHER,3855,,45.26722222,-70.84166667,ME
86,EQUINOX MTN,3850,3060,43.16583333,-73.11805556,VT
87,MENDON PK,3840,,43.595,-72.84666667,VT
88,BREAD LOAF MTN,3835,,44.00194444,-72.94166667,VT
89,PEAK ABOVE THE NUBBLE,3813,,44.22277778,-71.56194444,NH
90,BIGELOW MTN (THE HORNS S PK),3805,,45.145,-70.32361111,ME
91,MT COE,3795,,45.93361111,-69.00944444,ME
92,EAST KENNEBAGO MTN,3791,1801,45.12166667,-70.6,ME
93,MT WILSON,3790,,44.00472222,-72.92611111,VT
94,BALDPATE MTN (E PK),3790,2240,44.60916667,-70.89277778,ME
95,BIG JAY,3786,,44.915,-72.54111111,VT
96,SNOW MTN,3784,,45.16916667,-70.82722222,ME
97,KENNEBAGO DIVIDE (N PK),3775,,45.2225,-70.81611111,ME
98,SCAR RIDGE (W PK),3774,,44.02916667,-71.59583333,NH
99,SADDLEBACK MTN (THE HORN N PK),3772,,44.95888889,-70.49222222,ME
100,ELEPHANT MTN,3772,2062,44.76805556,-70.78222222,ME
101,REDINGTON POND RANGE (M PK),3770,,45.00777778,-70.39472222,ME
102,DORSET PK,3770,2840,43.30916667,-73.02861111,VT
103,CANNON BALLS (NE PK),3769,,44.15,-71.71055556,NH
104,MAHOOSUC ARM,3765,,44.56055556,-70.97861111,ME
105,MT KANCAMAGUS,3763,,44.01111111,-71.47944444,NH
106,WEST KENNEBAGO MTN (N PK),3750,,45.12027778,-70.81611111,ME
107,MT ABRAHAM (M PK),3750,,44.95777778,-70.30472222,ME
108,GLASTENBURY MTN,3748,,42.97777778,-73.07222222,VT
109,MT LOWELL,3740,,44.10361111,-71.41861111,NH
110,MT ANDERSON,3740,,44.1125,-71.41833333,NH
111,SHELBURNE MORIAH MTN,3735,,44.35305556,-71.09916667,NH
112,SHREWSBURY PK,3730,,43.57555556,-72.80638889,VT
113,HUTCHINS MTN MT PILOT,3730,,44.54805556,-71.455,NH
114,COBURN MTN,3730,2520,45.46861111,-70.12694444,ME
115,BUNNEL MTN (BLUE MTN),3730,1800,44.79138889,-71.47916667,NH
116,MT DARTMOUTH,3727,,44.3025,-71.38416667,NH
117,MT BEMIS,3725,,44.12694444,-71.39416667,NH
118,WEST KENNEBAGO MTN,3713,,45.10694444,-70.81694444,ME
119,STERLING MTN (WHITE FACE MTN),3713,1543,44.58222222,-72.74027778,VT
120,SUGARLOAF,3710,,44.74416667,-71.46833333,NH
121,BLACK NUBBLE,3710,,45.03194444,-70.4475,ME
