Rank,Name,Elevation,Prominence,Latitude,Longitude,State
1,MT WASHINGTON,6288,6153,44.27055556,-71.30388889,NH
2,MT ADAMS,5774,843,44.32055556,-71.29194444,NH
3,MT JEFFERSON,5711,741,44.30416667,-71.31722222,NH
4,MT MONROE,5383,275,44.25527778,-71.32166667,NH
5,MT MADISON,5367,476,44.32861111,-71.27722222,NH
6,MT KATAHDIN (BAXTER PK),5268,4293,45.90416667,-68.92194444,ME
7,MT LAFAYETTE,5260,3360,44.16055556,-71.645,NH
8,SOUTH TWIN MTN,4902,1522,44.1875,-71.55527778,NH
9,CARTER DOME,4832,2815,44.26722222,-71.17972222,NH
10,MT MOOSILAUKE,4820,2960,44.02333333,-71.83194444,NH
11,MT EISENHOWER,4780,360,44.24055556,-71.35083333,NH
12,NORTH TWIN MTN,4761,301,44.2025,-71.55833333,NH
13,MT KATAHDIN (HAMLIN PK),4756,506,45.92416667,-68.92833333,ME
14,MT CARRIGAIN,4700,2240,44.09361111,-71.4475,NH
15,MT BOND,4698,318,44.15305556,-71.53166667,NH
16,MIDDLE CARTER MTN,4610,720,44.30305556,-71.16833333,NH
17,MT GUYOT,4580,200,44.16805556,-71.53444444,NH
18,MT BOND (W PK),4540,200,44.15472222,-71.54388889,NH
19,MT GARFIELD,4500,840,44.18722222,-71.61111111,NH
20,MT LIBERTY,4459,399,44.11583333,-71.64277778,NH
21,SOUTH CARTER MTN,4430,240,44.28972222,-71.17694444,NH
22,WILDCAT MTN,4422,1034,44.25916667,-71.20222222,NH
23,MT HANCOCK,4420,1240,44.08333333,-71.49388889,NH
24,MT MANSFIELD (CHIN),4393,3643,44.54361111,-72.81472222,VT
25,KINSMAN MTN (S PK),4358,2418,44.12277778,-71.73694444,NH
26,MT OSCEOLA,4340,2040,44.00166667,-71.53638889,NH
27,MT FIELD,4340,1702,44.19611111,-71.43388889,NH
28,MT FLUME,4328,428,44.10861111,-71.62861111,NH
29,MT PIERCE,4310,250,44.22694444,-71.36611111,NH
30,KINSMAN MTN (N PK),4293,273,44.13333333,-71.73722222,NH
31,MT WILLEY,4285,305,44.18333333,-71.42166667,NH
32,BONDCLIFF,4265,205,44.14055556,-71.54111111,NH
33,ZEALAND RIDGE,4260,240,44.17972222,-71.52194444,NH
34,SUGARLOAF MTN,4250,3180,45.03166667,-70.31361111,ME
35,KILLINGTON PEAK,4235,3325,43.60444444,-72.82055556,VT
36,CROCKER MTN,4228,1218,45.04694444,-70.38333333,ME
37,MT TRIPYRAMID (N PK),4180,1360,43.97305556,-71.44333333,NH
38,OLD SPECK MTN,4170,2720,44.57083333,-70.95416667,ME
39,MT CABOT,4170,2665,44.50583333,-71.41472222,NH
40,MT OSCEOLA (E PK),4156,336,44.00611111,-71.52111111,NH
41,NORTH BROTHER,4151,1256,45.95694444,-68.98583333,ME
42,BIGELOW MTN (W PK),4145,2855,45.14666667,-70.28861111,ME
43,MT TRIPYRAMID (M PK),4140,280,43.96444444,-71.44055556,NH
44,SADDLEBACK MTN,4120,2446,44.93638889,-70.505,ME
45,CANNON MTN,4100,760,44.15666667,-71.69944444,NH
46,CAMELS HUMP,4090,2140,44.31944444,-72.88666667,VT
47,BIGELOW MTN (AVERY PK),4090,277,45.14666667,-70.27583333,ME
48,MT ELLEN,4083,1873,44.15972222,-72.92916667,VT
49,WILDCAT RIDGE (D PK),4070,300,44.24916667,-71.22416667,NH
50,MT MANSFIELD (THE NOSE),4062,212,44.5265,-72.8151,VT
51,MT HALE,4054,634,44.22166667,-71.5125,NH
52,MT JACKSON,4052,352,44.20305556,-71.37583333,NH
53,MT TOM,4051,351,44.21027778,-71.44666667,NH
54,SOUTH CROCKER MTN,4050,360,45.03611111,-70.37638889,ME
55,MT ABRAHAM,4050,900,44.97277778,-70.32694444,ME
56,MT MORIAH,4049,922,44.34027778,-71.13222222,NH
57,MT PASSACONAWAY,4043,783,43.95472222,-71.38111111,NH
58,SADDLEBACK MTN (THE HORN),4041,471,44.95111111,-70.4875,ME
59,OWLS HEAD,4025,845,44.14416667,-71.60555556,NH
60,GALEHEAD,4024,284,44.185,-71.57388889,NH
61,MT WHITEFACE,4020,600,43.93666667,-71.40805556,NH
62,SPAULDING MTN,4010,595,45.00277778,-70.33388889,ME
63,MT REDINGTON,4010,460,45.025,-70.38916667,ME
64,MT ABRAHAM,4006,296,44.12027778,-72.93666667,VT
65,MT WAUMBEK,4005,1299,44.4325,-71.41777778,NH
66,MT ISOLATION,4004,224,44.21472222,-71.31,NH
67,MT TECUMSEH,4003,1743,43.96638889,-71.55694444,NH
68,SANDWICH MTN,3980,1200,43.90027778,-71.49861111,NH
69,SOUTH BROTHER,3970,520,45.94416667,-69.00222222,ME
70,SNOW MTN,3960,2330,45.29138889,-70.70972222,ME
71,PICO PK,3957,587,43.63944444,-72.83694444,VT
72,THE BULGE,3950,240,44.51444444,-71.40861111,NH
73,STRATTON MTN,3940,2415,43.08611111,-72.92555556,VT
74,MT NANCY,3926,1026,44.12222222,-71.405,NH
75,THE HORN,3905,255,44.51777778,-71.40055556,NH
76,MT WEEKS (N PK),3900,623,44.46138889,-71.38222222,NH
77,MT WEEKS (S PK),3885,351,44.44222222,-71.38888889,NH
78,GOOSE EYE MTN,3870,1380,44.50277778,-71,ME
79,FORT MTN,3867,199,45.96194444,-68.97527778,ME
80,VOSE SPUR,3862,242,44.10277778,-71.435,NH
81,THE SLEEPERS (E PK),3860,320,43.94666667,-71.42583333,NH
82,JAY PK,3858,2970,44.92444444,-72.52638889,VT
83,WHITE CAP MTN,3856,1006,45.23611111,-70.81833333,ME
84,PANTHER,3855,485,45.26722222,-70.84166667,ME
85,EQUINOX MTN,3850,3060,43.16583333,-73.11805556,VT
86,MENDON PK,3840,290,43.595,-72.84666667,VT
87,BREAD LOAF MTN,3835,1405,44.00194444,-72.94166667,VT
88,BIGELOW MTN (THE HORNS S PK),3805,495,45.145,-70.32361111,ME
89,MT COE,3795,305,45.93361111,-69.00944444,ME
90,EAST KENNEBAGO MTN,3791,1801,45.12166667,-70.6,ME
91,BALDPATE MTN (E PK),3790,2240,44.60916667,-70.89277778,ME
92,BIG JAY,3786,391,44.915,-72.54111111,VT
93,SNOW MTN,3784,1274,45.16916667,-70.82722222,ME
94,MT WILSON,3780,210,44.00472222,-72.92611111,VT
95,KENNEBAGO DIVIDE (N PK),3775,365,45.2225,-70.81611111,ME
96,SCAR RIDGE (W PK),3774,674,44.02916667,-71.59583333,NH
97,ELEPHANT MTN,3772,2062,44.76805556,-70.78222222,ME
98,REDINGTON POND RANGE (M PK),3770,250,45.00777778,-70.39472222,ME
99,DORSET PK,3770,2840,43.30916667,-73.02861111,VT
100,CANNON BALLS (NE PK),3769,349,44.15,-71.71055556,NH
101,MAHOOSUC ARM,3765,235,44.56055556,-70.97861111,ME
102,MT KANCAMAGUS,3763,863,44.01111111,-71.47944444,NH
103,WEST KENNEBAGO MTN (N PK),3750,881,45.12027778,-70.81611111,ME
104,MT ABRAHAM (M PK),3750,340,44.95777778,-70.30472222,ME
105,GLASTENBURY MTN,3748,1121,42.97777778,-73.07222222,VT
106,MT LOWELL,3740,600,44.10361111,-71.41861111,NH
107,MT ANDERSON,3740,480,44.1125,-71.41833333,NH
108,SHELBURNE MORIAH MTN,3735,445,44.35305556,-71.09916667,NH
109,SHREWSBURY PK,3730,640,43.57555556,-72.80638889,VT
110,HUTCHINS MTN MT PILOT,3730,511,44.54805556,-71.455,NH
111,COBURN MTN,3730,2520,45.46861111,-70.12694444,ME
112,BUNNEL MTN (BLUE MTN),3730,1800,44.79138889,-71.47916667,NH
113,MT DARTMOUTH,3727,720,44.3025,-71.38416667,NH
114,MT BEMIS,3725,265,44.12694444,-71.39416667,NH
115,WEST KENNEBAGO MTN,3713,220,45.10694444,-70.81694444,ME
116,STERLING MTN (WHITE FACE MTN),3713,1543,44.58222222,-72.74027778,VT
117,SUGARLOAF,3710,600,44.74416667,-71.46833333,NH
118,BLACK NUBBLE,3710,920,45.03194444,-70.4475,ME
119,KENNEBAGO DIVIDE (S PK),3705,555,45.20583333,-70.82888889,ME
120,ZEALE,3700,280,44.2008,-71.5183,NH
121,MT HUNTINGTON (S PK),3700,200,44.04611111,-71.48555556,NH
122,MT HUNTINGTON,3700,840,44.0501,-71.4912,NH
123,BARREN MTN,3696,686,45.91916667,-68.98305556,ME
124,MT FIELD (W PK),3691,211,44.18916667,-71.4475,NH
125,BOLTON MTN,3690,1800,44.44916667,-72.84027778,VT
126,MT ETHAN ALLEN,3688,878,44.29361111,-72.88472222,VT
127,GOOSE EYE MTN (N PK),3675,285,44.51611111,-70.98888889,ME
128,MT DECEPTION (E PK),3671,571,44.29361111,-71.42111111,NH
129,MT ABRAHAM (S PK),3671,261,44.94361111,-70.29083333,ME
130,GARFIELD RIDGE (W PK),3667,227,44.18972222,-71.59583333,NH
131,GENERAL STARK MTN,3662,232,44.18416667,-72.92916667,VT
132,BALDPATE MTN (W PK),3662,232,44.60138889,-70.9025,ME
133,LONG MTN (W PK),3661,241,44.66944444,-71.40277778,NH
134,LONG MTN (M PK),3661,1711,44.6799,-71.3794,NH
135,SADDLEBACK JUNIOR,3655,265,44.95805556,-70.45833333,ME
136,WHITE CAP MTN,3654,2624,45.55444444,-69.24722222,ME
137,TERRACE MTN,3654,613,44.47722222,-71.39583333,NH
138,RUMP MTN,3654,1524,45.20361111,-71.06388889,ME
139,KIBBY MTN,3654,2264,45.41861111,-70.54472222,ME
140,THE OWL,3650,300,45.90916667,-68.95861111,ME
141,MADONNA PK,3650,700,44.56138889,-72.75888889,VT
142,EAST KENNEBAGO MTN (W PK),3650,880,45.10194444,-70.63888889,ME
143,CARIBOU MTN (W PK),3650,1240,45.42972222,-70.62361111,ME
144,COW RIDGE,3645,1435,45.19194444,-70.72944444,ME
145,MT PUTNAM (WORCESTER),3642,2472,44.41833333,-72.63888889,VT
146,BOUNDARY BALD MTN,3630,2002,45.76666667,-70.20416667,ME
147,STUB HILL,3627,1337,45.10666667,-71.09805556,NH
148,MT GRANT,3623,673,44.05194444,-72.92666667,VT
149,SCAR RIDGE (E PK),3620,360,44.01916667,-71.56555556,NH
150,MT HITCHCOCK,3620,560,44.07416667,-71.54,NH
151,PILOT RIDGE (M PK),3615,325,44.53388889,-71.43777778,NH
152,MUISE MTN,3615,1265,44.7855,-71.3781,NH
153,NORTH BALDFACE,3610,1260,44.24277778,-71.0875,NH
154,GORE MTN,3610,360,44.77388889,-71.46583333,NH
155,BURNT HILL,3609,439,45.03555556,-70.28277778,ME
156,PLINY MTN,3606,466,44.41666667,-71.39333333,NH
157,BOIL MTN,3601,1111,45.24305556,-70.73611111,ME
158,OLD BLUE MTN,3592,620,44.74694444,-70.76611111,ME
159,CARIBOU MTN (M PK),3591,220,45.43527778,-70.615,ME
160,WEST PK,3590,260,44.75416667,-71.49638889,NH
161,GARFIELD RIDGE (E PK),3590,205,44.19277778,-71.5825,NH
162,BEMIS MTN,3590,320,44.79472222,-70.76861111,ME
163,TUMBLEDOWN MTN,3588,998,45.44916667,-70.47083333,ME
164,MT SNOW,3586,1351,42.95916667,-72.92388889,VT
165,MT HUNGER (N PK),3586,316,44.40083333,-72.64388889,VT
166,CHERRY MTN (MT MARTHA),3572,1574,44.33083333,-71.49972222,NH
167,SOUTH BALDFACE,3570,300,44.23083333,-71.07833333,NH
168,MARY MTN,3570,230,44.52833333,-71.42861111,NH
169,JACKSON MTN,3568,1798,44.76222222,-70.52055556,ME
170,MT SUCCESS,3565,675,44.47138889,-71.03972222,NH
171,MT CARLO,3565,415,44.48916667,-71.00861111,ME
172,MT CLOUGH,3561,1261,44.02916667,-71.87277778,NH
173,UNNAMED (BOUNDARY PK DENNISON BOG),3552,259,45.2375,-70.83694444,ME
174,MT ROOSEVELT,3550,280,44.02,-72.91833333,VT
175,THE FOOL KILLER,3548,208,43.97138889,-71.42694444,NH
176,UNNAMED BDY PK BROWN (N PK),3541,571,45.4025,-70.62194444,ME
177,TRAVELER MTN (THE TRAVELER),3541,2331,46.07277778,-68.845,ME
178,THE CAPTAIN,3540,240,44.08388889,-71.46277778,NH
179,TWIN MTNS,3536,346,45.15194444,-70.825,ME
180,FARR PK,3522,1378,43.80916667,-72.94444444,VT
181,BAKER MTN,3521,2191,45.57111111,-69.39444444,ME
182,SABLE MTN,3519,629,44.21472222,-71.09638889,NH
183,DORSET MTN (W PK),3515,545,43.30861111,-73.06416667,VT
184,UNNAMED (UNKNOWN POND PK),3510,400,44.5285,-71.3803,NH
185,UNNAMED (RAIN W PK),3510,420,45.39805556,-70.59805556,ME
186,SAVAGE MTN,3510,1360,44.73194444,-71.545,NH
187,SCAR RIDGE (M PK),3500,240,44.02527778,-71.58083333,NH
188,MT WOLF,3500,920,44.0775,-71.75388889,NH
189,MT HITCHCOCK (S PK),3500,200,44.06638889,-71.52861111,NH
190,MT CHOCORUA,3500,1280,43.95444444,-71.27388889,NH
191,WORCESTER MTNS (N PK),3490,440,44.43055556,-72.61277778,VT
192,DIXVILLE PK,3490,900,44.83583333,-71.31861111,NH
193,DOUBLETOP MTN,3489,2079,45.93583333,-69.06166667,ME
194,MT GREYLOCK,3488,2474,42.6374,-73.1662,MA
195,BLOODROOT MTN,3485,375,43.78555556,-72.93777778,VT
196,MT CLEVELAND,3482,372,44.04611111,-72.90833333,VT
