Rank,Name,Elevation,Latitude,Longitude,State,Prominence
1,MT WASHINGTON,6288,44.27055556,-71.30388889,NH,6153
2,MT ADAMS,5774,44.32055556,-71.29194444,NH,
3,MT JEFFERSON,5712,44.30416667,-71.31722222,NH,
4,MT MONROE,5384,44.25527778,-71.32166667,NH,
5,MT MADISON,5367,44.32861111,-71.27722222,NH,
6,MT KATAHDIN (BAXTER PK),5268,45.90416667,-68.92194444,ME,4293
7,MT LAFAYETTE,5260,44.16055556,-71.645,NH,3360
8,SOUTH TWIN MTN,4902,44.1875,-71.55527778,NH,1522
9,CARTER DOME,4832,44.26722222,-71.17972222,NH,2821
10,MT MOOSILAUKE,4802,44.02333333,-71.83194444,NH,2960
11,MT EISENHOWER,4780,44.24055556,-71.35083333,NH,
12,NORTH TWIN MTN,4761,44.2025,-71.55833333,NH,
13,MT KATAHDIN (HAMLIN PK),4756,45.92416667,-68.92833333,ME,
14,MT CARRIGAIN,4700,44.09361111,-71.4475,NH,2240
15,MT BOND,4698,44.15305556,-71.53166667,NH,
16,MIDDLE CARTER MTN,4610,44.30305556,-71.16833333,NH,
17,MT GUYOT,4580,44.16805556,-71.53444444,NH,
18,MT BOND (W PK),4540,44.15472222,-71.54388889,NH,
19,MT GARFIELD,4500,44.18722222,-71.61111111,NH,
20,MT LIBERTY,4459,44.11583333,-71.64277778,NH,
21,SOUTH CARTER MTN,4430,44.28972222,-71.17694444,NH,
22,WILDCAT MTN,4422,44.25916667,-71.20222222,NH,
23,MT HANCOCK,4420,44.08333333,-71.49388889,NH,
24,MT MANSFIELD (CHIN),4393,44.54361111,-72.81472222,VT,3643
25,KINSMAN MTN (S PK),4358,44.12277778,-71.73694444,NH,2418
26,MT OSCEOLA,4340,44.00166667,-71.53638889,NH,2040
27,MT FIELD,4340,44.19611111,-71.43388889,NH,1702
28,MT FLUME,4328,44.10861111,-71.62861111,NH,
29,MT PIERCE,4310,44.22694444,-71.36611111,NH,
30,KINSMAN MTN (N PK),4293,44.13333333,-71.73722222,NH,
31,MT WILLEY,4285,44.18333333,-71.42166667,NH,
32,"MT BOND, THE CLIFFS",4265,44.14055556,-71.54111111,NH,
33,ZEALAND RIDGE,4260,44.17972222,-71.52194444,NH,
34,SUGARLOAF MTN,4250,45.03166667,-70.31361111,ME,3180
35,KILLINGTON PEAK,4235,43.60444444,-72.82055556,VT,3325
36,CROCKER MTN,4228,45.04694444,-70.38333333,ME,
37,MT TRIPYRAMID (N PK),4180,43.97305556,-71.44333333,NH,
38,OLD SPECK MTN,4170,44.57083333,-70.95416667,ME,2720
39,MT CABOT,4170,44.50583333,-71.41472222,NH,2665
40,MT OSCEOLA (E PK),4156,44.00611111,-71.52111111,NH,
41,NORTH BROTHER,4151,45.95694444,-68.98583333,ME,
42,BIGELOW MTN WEST PK,4145,45.14666667,-70.28861111,ME,2855
43,MT TRIPYRAMID (M PK),4140,43.96444444,-71.44055556,NH,
44,SADDLEBACK MTN,4120,44.93638889,-70.505,ME,2446
45,CANNON MTN,4100,44.15666667,-71.69944444,NH,
46,CAMELS HUMP,4090,44.31944444,-72.88666667,VT,2140
47,BIGELOW MTN (AVERY PK),4090,45.14666667,-70.27583333,ME,
48,MT ELLEN,4083,44.15972222,-72.92916667,VT,1873
49,WILDCAT RIDGE (D PK),4070,44.24916667,-71.22416667,NH,
50,MT HALE,4054,44.22166667,-71.5125,NH,
51,MT JACKSON,4052,44.20305556,-71.37583333,NH,
52,MT TOM,4051,44.21027778,-71.44666667,NH,
53,SOUTH CROCKER MTN,4050,45.03611111,-70.37638889,ME,
54,MT ABRAHAM,4050,44.97277778,-70.32694444,ME,
55,MT MORIAH,4049,44.34027778,-71.13222222,NH,
56,MT PASSACONAWAY,4043,43.95472222,-71.38111111,NH,
57,SADDLEBACK MTN THE HORN,4041,44.95111111,-70.4875,ME,
58,OWLS HEAD,4025,44.14416667,-71.60555556,NH,
59,GALEHEAD,4024,44.185,-71.57388889,NH,
60,MT WHITEFACE,4020,43.93666667,-71.40805556,NH,
61,SPAULDING MTN,4010,45.00277778,-70.33388889,ME,
62,MT REDINGTON,4010,45.025,-70.38916667,ME,
63,MT WAUMBEK,4006,44.4325,-71.41777778,NH,
64,MT ABRAHAM,4006,44.12027778,-72.93666667,VT,296
65,MT ISOLATION,4004,44.21472222,-71.31,NH,
66,MT TECUMSEH,4003,43.96638889,-71.55694444,NH,1743
