Name,Elevation,Latitude,Longitude,State
MT WASHINGTON,6288,44.27055556,-71.30388889,NH
MT ADAMS,5774,44.32055556,-71.29194444,NH
MT JEFFERSON,5712,44.30416667,-71.31722222,NH
MT MONROE,5384,44.25527778,-71.32166667,NH
MT MADISON,5367,44.32861111,-71.27722222,NH
"MT KATAHDIN, BAXTER PK",5268,45.90416667,-68.92194444,ME
MT LAFAYETTE,5260,44.16055556,-71.645,NH
MT LINCOLN,5089,44.14888889,-71.645,NH
SOUTH TWIN MTN,4902,44.1875,-71.55527778,NH
CARTER DOME,4832,44.26722222,-71.17972222,NH
MT MOOSILAUKE,4802,44.02333333,-71.83194444,NH
MT EISENHOWER,4780,44.24055556,-71.35083333,NH
NORTH TWIN MTN,4761,44.2025,-71.55833333,NH
"MT KATAHDIN, HAMLIN PK",4756,45.92416667,-68.92833333,ME
MT CARRIGAIN,4700,44.09361111,-71.4475,NH
MT BOND,4698,44.15305556,-71.53166667,NH
MIDDLE CARTER MTN,4610,44.30305556,-71.16833333,NH
MT BOND (W PK),4540,44.15472222,-71.54388889,NH
MT GARFIELD,4500,44.18722222,-71.61111111,NH
MT LIBERTY,4459,44.11583333,-71.64277778,NH
SOUTH CARTER MTN,4430,44.28972222,-71.17694444,NH
WILDCAT MTN,4422,44.25916667,-71.20222222,NH
MT HANCOCK,4420,44.08333333,-71.49388889,NH
MT MANSFIELD (Chin),4393,44.54361111,-72.81472222,VT
KINSMAN MTN (S PK),4358,44.12277778,-71.73694444,NH
MT OSCEOLA,4340,44.00166667,-71.53638889,NH
MT FIELD,4340,44.19611111,-71.43388889,NH
MT FLUME,4328,44.10861111,-71.62861111,NH
MT HANCOCK (S PK),4319,44.07333333,-71.4875,NH
MT PIERCE,4310,44.22694444,-71.36611111,NH
KINSMAN MTN (N PK),4293,44.13333333,-71.73722222,NH
MT WILLEY,4285,44.18333333,-71.42166667,NH
"MT BOND, THE CLIFFS",4265,44.14055556,-71.54111111,NH
ZEALAND RIDGE,4260,44.17972222,-71.52194444,NH
SUGARLOAF MTN,4250,45.03166667,-70.31361111,ME
KILLINGTON PK,4235,43.60444444,-72.82055556,VT
CROCKER MTN,4228,45.04694444,-70.38333333,ME
MT TRIPYRAMID (N PK),4180,43.97305556,-71.44333333,NH
MT CABOT,4170,44.50583333,-71.41472222,NH
OLD SPECK MTN,4170,44.57083333,-70.95416667,ME
MT OSCEOLA (E PK),4156,44.00611111,-71.52111111,NH
NORTH BROTHER,4151,45.95694444,-68.98583333,ME
"BIGELOW MTN, WEST PK",4145,45.14666667,-70.28861111,ME
MT TRIPYRAMID (M PK),4140,43.96444444,-71.44055556,NH
SADDLEBACK MTN,4120,44.93638889,-70.505,ME
CANNON MTN,4100,44.15666667,-71.69944444,NH
"BIGELOW MTN, AVERY PK",4090,45.14666667,-70.27583333,ME
CAMELS HUMP,4090,44.31944444,-72.88666667,VT
MT ELLEN,4083,44.15972222,-72.92916667,VT
WILDCAT RIDGE (D PK),4070,44.24916667,-71.22416667,NH
MT HALE,4054,44.22166667,-71.5125,NH
MT JACKSON,4052,44.20305556,-71.37583333,NH
MT TOM,4051,44.21027778,-71.44666667,NH
MT ABRAHAM,4050,44.97277778,-70.32694444,ME
SOUTH CROCKER MTN,4050,45.03611111,-70.37638889,ME
MT MORIAH,4049,44.34027778,-71.13222222,NH
MT PASSACONAWAY,4043,43.95472222,-71.38111111,NH
"SADDLEBACK MTN, THE HORN",4041,44.95111111,-70.4875,ME
OWLS HEAD,4025,44.14416667,-71.60555556,NH
GALEHEAD,4024,44.185,-71.57388889,NH
MT WHITEFACE,4020,43.93666667,-71.40805556,NH
SPAULDING MTN,4010,45.00277778,-70.33388889,ME
MT REDINGTON,4010,45.025,-70.38916667,ME
MT WAUMBEK,4006,44.4325,-71.41777778,NH
MT ABRAHAM,4006,44.12027778,-72.93666667,VT
MT ISOLATION,4004,44.21472222,-71.31,NH
MT TECUMSEH,4003,43.96638889,-71.55694444,NH
SANDWICH MTN,3980,43.90027778,-71.49861111,NH
SOUTH BROTHER,3970,45.94416667,-69.00222222,ME
SNOW MTN,3960,45.29138889,-70.70972222,ME
PICO PK,3957,43.63944444,-72.83694444,VT
THE BULGE,3950,44.51444444,-71.40861111,NH
STRATTON MTN,3940,43.08611111,-72.92555556,VT
MT NANCY,3926,44.12222222,-71.405,NH
THE HORN,3905,44.51777778,-71.40055556,NH
MT WEEKS (N PK),3901,44.46138889,-71.38222222,NH
MT WEEKS (S PK),3885,44.44222222,-71.38888889,NH
GOOSE EYE MTN,3870,44.50277778,-71,ME
FORT MTN,3867,45.96194444,-68.97527778,ME
VOSE SPUR,3862,44.10277778,-71.435,NH
THE SLEEPERS (E PK),3860,43.94666667,-71.42583333,NH
JAY PK,3858,44.92444444,-72.52638889,VT
WHITE CAP MTN,3856,45.23611111,-70.81833333,ME
PANTHER,3855,45.26722222,-70.84166667,ME
EQUINOX MTN,3850,43.16583333,-73.11805556,VT
MENDON PK,3840,43.595,-72.84666667,VT
BREAD LOAF MTN,3835,44.00194444,-72.94166667,VT
PEAK ABOVE THE NUBBLE,3813,44.22277778,-71.56194444,NH
"BIGELOW MTN, THE HORNS (S PK)",3805,45.145,-70.32361111,ME
MT COE,3795,45.93361111,-69.00944444,ME
EAST KENNEBAGO MTN,3791,45.12166667,-70.6,ME
MT WILSON,3790,44.00472222,-72.92611111,VT
"BALDPATE MTN, E PK",3790,44.60916667,-70.89277778,ME
BIG JAY,3786,44.915,-72.54111111,VT
SNOW MTN,3784,45.16916667,-70.82722222,ME
KENNEBAGO DIVIDE (N PK),3775,45.2225,-70.81611111,ME
SCAR RIDGE (W PK),3774,44.02916667,-71.59583333,NH
ELEPHANT MTN,3772,44.76805556,-70.78222222,ME
DORSET PK,3770,43.30916667,-73.02861111,VT
CANNON BALLS (NE PK),3769,44.15,-71.71055556,NH
