Rank,Name,Elevation,Prominence,Latitude,Longitude,State
1,MT WASHINGTON,6288,6153,44.27055556,-71.30388889,NH
2,MT MARCY,5344,4919,44.1125,-73.92416667,NY
3,MT KATAHDIN (BAXTER PK),5268,4293,45.90416667,-68.92194444,ME
4,MT MANSFIELD (CHIN),4393,3643,44.54361111,-72.81472222,VT
5,MT LAFAYETTE,5260,3360,44.16055556,-71.645,NH
6,KILLINGTON PEAK,4235,3325,43.60444444,-72.82055556,VT
7,SLIDE MTN,4190,3295,41.99916667,-74.38611111,NY
8,SUGARLOAF MTN,4250,3180,45.03166667,-70.31361111,ME
9,WHITEFACE MTN,4865,3110,44.36555556,-73.90361111,NY
10,EQUINOX MTN,3850,3060,43.16583333,-73.11805556,VT
11,JAY PK,3858,2970,44.92444444,-72.52638889,VT
12,GIANT MTN,4625,2969,44.16111111,-73.72055556,NY
13,MT MOOSILAUKE,4820,2960,44.02333333,-71.83194444,NH
14,BIGELOW MTN (W PK),4145,2855,45.14666667,-70.28861111,ME
15,DORSET PK,3770,2840,43.30916667,-73.02861111,VT
16,DIX MTN,4839,2822,44.08222222,-73.78666667,NY
17,CARTER DOME,4832,2815,44.26722222,-71.17972222,NH
18,OLD SPECK MTN,4170,2720,44.57083333,-70.95416667,ME
19,MT CABOT,4170,2665,44.50583333,-71.41472222,NH
20,WHITE CAP MTN,3654,2624,45.55444444,-69.24722222,ME
21,COBURN MTN,3730,2520,45.46861111,-70.12694444,ME
22,MT GREYLOCK,3488,2474,42.6374,-73.1662,MA
23,MT PUTNAM (WORCESTER),3642,2472,44.41833333,-72.63888889,VT
24,SADDLEBACK MTN,4120,2446,44.93638889,-70.505,ME
25,SANTANONI PK,4606,2425,44.08222222,-74.13138889,NY
26,KINSMAN MTN (S PK),4358,2418,44.12277778,-71.73694444,NH
27,STRATTON MTN,3940,2415,43.08611111,-72.92555556,VT
28,TRAVELER MTN (THE TRAVELER),3541,2331,46.07277778,-68.845,ME
29,SNOW MTN,3960,2330,45.29138889,-70.70972222,ME
30,MT SHAW,2990,2320,43.74394,-71.274112,NH
31,BLACK MTN,2650,2300,43.6066,-73.5312,NY
32,MT ASCUTNEY,3140,2289,43.44361111,-72.455,VT
33,KIBBY MTN,3654,2264,45.41861111,-70.54472222,ME
34,LYON MTN (NE PK),3830,2247,44.70305556,-73.86472222,NY
35,SNOWY MTN,3901,2243,43.7,-74.38694444,NY
36,MT CARRIGAIN,4700,2240,44.09361111,-71.4475,NH
37,BALDPATE MTN (E PK),3790,2240,44.60916667,-70.89277778,ME
