Rank,Name,Elevation,Prominence,Latitude,Longitude,State
107,BLACK DOME,3990,2080,42.27,-74.12333333,NY
108,BLAKE PK,3986,,44.08111111,-73.845,NY
109,MACNAUGHTON MTN,3983,,44.13972222,-74.06472222,NY
110,SANDWICH MTN,3980,1200,43.90027778,-71.49861111,NH
111,SOUTH BROTHER,3970,520,45.94416667,-69.00222222,ME
112,SNOW MTN,3960,2330,45.29138889,-70.70972222,ME
113,GREEN MTN,3960,,44.18194444,-73.715,NY
114,PICO PK,3957,587,43.63944444,-72.83694444,VT
115,BLAKE PK (S PK),3953,,44.07666667,-73.84694444,NY
116,THOMAS COLE MTN,3950,,42.27083333,-74.13666667,NY
117,THE BULGE,3950,240,44.51444444,-71.40861111,NH
118,BLACKHEAD,3950,,42.26777778,-74.10527778,NY
119,CLIFF MTN,3944,,44.10333333,-73.97555556,NY
120,STRATTON MTN,3940,2415,43.08611111,-72.92555556,VT
121,MCDONNEL MTN,3940,,44.08055556,-73.93472222,NY
122,MT NANCY,3926,1026,44.12222222,-71.405,NH
123,THE HORN,3905,255,44.51777778,-71.40055556,NH
124,SNOWY MTN,3901,2243,43.7,-74.38694444,NY
125,MT WEEKS (N PK),3900,623,44.46138889,-71.38222222,NH
126,MOOSE MTN,3898,,44.35083333,-74.00361111,NY
127,UNNAMED PK LOST POND,3891,,44.16416667,-74.03472222,NY
128,WEST KILL MTN,3890,,42.16777778,-74.29027778,NY
129,NYE MTN,3888,,44.18722222,-74.02444444,NY
130,MT WEEKS (S PK),3885,351,44.44222222,-71.38888889,NH
131,THE SLEEPERS (W PK),3881,181,43.95416667,-71.43583333,NH
132,KILBURN MTN,3881,1700,44.30277778,-73.8825,NY
133,BLUE RIDGE,3881,,43.62944444,-74.48222222,NY
134,NORTH RIVER MTNS (N PK),3878,,44.03527778,-73.9825,NY
135,GOOSE EYE MTN,3870,1380,44.50277778,-71,ME
136,DOUBLETOP MTN,3870,,42.0275,-74.52861111,NY
137,CORNELL MTN,3870,,42.00138889,-74.35722222,NY
138,GRAHAM MTN,3868,,42.03944444,-74.54972222,NY
139,FORT MTN,3867,199,45.96194444,-68.97527778,ME
140,VOSE SPUR,3862,242,44.10277778,-71.435,NH
141,PANTHER MTN,3862,,43.73666667,-74.39194444,NY
142,THE SLEEPERS (E PK),3860,320,43.94666667,-71.42583333,NH
143,SENTINEL MTN,3858,,44.30611111,-73.85277778,NY
144,NORTH RIVER MTNS RIST MTN,3858,,44.02777778,-73.98777778,NY
145,JAY PK,3858,2970,44.92444444,-72.52638889,VT
146,WHITE CAP MTN,3856,1006,45.23611111,-70.81833333,ME
147,SAWTOOTH MTNS (M PK),3855,,44.18861111,-74.12166667,NY
148,PANTHER,3855,485,45.26722222,-70.84166667,ME
149,PLATEAU MTN,3850,1780,42.13805556,-74.17472222,NY
150,EQUINOX MTN,3850,3060,43.16583333,-73.11805556,VT
151,HOWARD MTN,3848,,44.15805556,-73.89138889,NY
152,TABLE MTN,3847,,41.95833333,-74.40527778,NY
153,PEEKAMOOSE MTN,3843,,41.95305556,-74.39861111,NY
154,MENDON PK,3840,290,43.595,-72.84666667,VT
155,BREAD LOAF MTN,3835,1405,44.00194444,-72.94166667,VT
156,MCKENZIE MTN,3832,,44.33611111,-74.03277778,NY
157,LYON MTN (NE PK),3830,2247,44.70305556,-73.86472222,NY
158,UNNAMED PK INDIAN FALLS,3822,,44.14388889,-73.93583333,NY
159,AVALANCHE MTN,3816,,44.13611111,-73.97,NY
160,PEAK ABOVE THE NUBBLE,3813,193,44.22277778,-71.56194444,NH
161,SUGARLOAF MTN,3810,,42.13111111,-74.15083333,NY
162,BIGELOW MTN (THE HORNS S PK),3805,495,45.145,-70.32361111,ME
163,LYON MTN AVERILL PK,3803,,44.69277778,-73.88138889,NY
164,MT COE,3795,305,45.93361111,-69.00944444,ME
165,COUCHSACHRAGA PK,3793,,44.09527778,-74.16055556,NY
166,EAST KENNEBAGO MTN,3791,1801,45.12166667,-70.6,ME
167,WITTENBERG MTN,3790,,42.00805556,-74.3475,NY
168,BALDPATE MTN (E PK),3790,2240,44.60916667,-70.89277778,ME
169,SAWTOOTH MTNS (W PK),3789,,44.19305556,-74.14027778,NY
170,BUELL MTN,3789,,43.71638889,-74.4075,NY
171,BIG JAY,3786,391,44.915,-72.54111111,VT
172,SNOW MTN,3784,1274,45.16916667,-70.82722222,ME
173,MT WILSON,3780,210,44.00472222,-72.92611111,VT
174,BOREAS MTN,3776,,44.00305556,-73.88111111,NY
