Rank,Name,Elevation,Latitude,Longitude,State,Prominence
1,MT WASHINGTON,6288,44.27055556,-71.30388889,NH,6150
2,MT ADAMS,5774,44.32055556,-71.29194444,NH,
3,MT JEFFERSON,5712,44.30416667,-71.31722222,NH,
4,MT MONROE,5384,44.25527778,-71.32166667,NH,
5,MT MADISON,5367,44.32861111,-71.27722222,NH,
6,MT MARCY,5344,44.1125,-73.92416667,NY,4919
7,"MT KATAHDIN, BAXTER PK",5268,45.90416667,-68.92194444,ME,4290
8,MT LAFAYETTE,5260,44.16055556,-71.645,NH,3360
9,ALGONQUIN PK,5115,44.14361111,-73.98694444,NY,2113
10,MT LINCOLN,5089,44.14888889,-71.645,NH,
11,MT HAYSTACK,4961,44.10555556,-73.90111111,NY,
12,MT SKYLIGHT,4925,44.09944444,-73.93138889,NY,
13,SOUTH TWIN MTN,4902,44.1875,-71.55527778,NH,1522
14,WHITEFACE MTN,4865,44.36555556,-73.90361111,NY,3110
15,IROQUOIS PK,4849,44.13694444,-73.99861111,NY,
16,DIX MTN,4839,44.08222222,-73.78666667,NY,2822
17,CARTER DOME,4832,44.26722222,-71.17972222,NH,2821
18,GRAY PEAK,4826,44.11138889,-73.93555556,NY,
19,BASIN MTN,4826,44.12111111,-73.88694444,NY,
20,MT MOOSILAUKE,4802,44.02333333,-71.83194444,NH,2932
21,MT EISENHOWER,4780,44.24055556,-71.35083333,NH,
22,NORTH TWIN MTN,4761,44.2025,-71.55833333,NH,
23,MT KATAHDIN (HAMLIN PK),4756,45.92416667,-68.92833333,ME,
24,GOTHICS,4734,44.12777778,-73.85777778,NY,
25,MT COLDEN,4715,44.12694444,-73.96055556,NY,
26,MT CARRIGAIN,4700,44.09361111,-71.4475,NH,2240
27,MT BOND,4698,44.15305556,-71.53166667,NH,
28,GIANT MTN,4626,44.16111111,-73.72055556,NY,2969
29,NIPPLE TOP,4610,44.08888889,-73.81638889,NY,
30,MIDDLE CARTER MTN,4610,44.30305556,-71.16833333,NH,
31,SANTANONI PK,4606,44.08222222,-74.13138889,NY,2425
32,MT REDFIELD,4606,44.09472222,-73.95027778,NY,
33,WRIGHT PK,4587,44.15166667,-73.98,NY,
34,MT GUYOT,4580,44.16805556,-71.53444444,NH,
35,MT BOND (W PK),4540,44.15472222,-71.54388889,NH,
36,SADDLEBACK MTN,4528,44.12638889,-73.87527778,NY,
37,MT GARFIELD,4500,44.18722222,-71.61111111,NH,
