Rank,Name,Elevation,Prominence,Latitude,Longitude,State
1,MT WASHINGTON,6288,6153,44.27055556,-71.30388889,NH
2,MT ADAMS,5774,843,44.32055556,-71.29194444,NH
3,MT JEFFERSON,5711,741,44.30416667,-71.31722222,NH
4,MT MONROE,5383,275,44.25527778,-71.32166667,NH
5,MT MADISON,5367,476,44.32861111,-71.27722222,NH
6,MT MARCY,5344,4919,44.1125,-73.92416667,NY
7,MT KATAHDIN (BAXTER PK),5268,4293,45.90416667,-68.92194444,ME
8,MT LAFAYETTE,5260,3360,44.16055556,-71.645,NH
9,ALGONQUIN PK,5114,2113,44.14361111,-73.98694444,NY
10,MT HAYSTACK,4961,843,44.10555556,-73.90111111,NY
11,MT SKYLIGHT,4925,577,44.09944444,-73.93138889,NY
12,SOUTH TWIN MTN,4902,1522,44.1875,-71.55527778,NH
13,WHITEFACE MTN,4865,3110,44.36555556,-73.90361111,NY
14,DIX MTN,4839,2822,44.08222222,-73.78666667,NY
15,CARTER DOME,4832,2815,44.26722222,-71.17972222,NH
16,BASIN MTN,4826,742,44.12111111,-73.88694444,NY
17,MT MOOSILAUKE,4820,2960,44.02333333,-71.83194444,NH
18,MT EISENHOWER,4780,360,44.24055556,-71.35083333,NH
19,NORTH TWIN MTN,4761,301,44.2025,-71.55833333,NH
20,MT KATAHDIN (HAMLIN PK),4756,506,45.92416667,-68.92833333,ME
21,GOTHICS,4734,715,44.12777778,-73.85777778,NY
22,MT COLDEN,4715,892,44.12694444,-73.96055556,NY
23,MT CARRIGAIN,4700,2240,44.09361111,-71.4475,NH
24,MT BOND,4698,318,44.15305556,-71.53166667,NH
25,GIANT MTN,4625,2969,44.16111111,-73.72055556,NY
26,MIDDLE CARTER MTN,4610,720,44.30305556,-71.16833333,NH
27,NIPPLE TOP,4609,1378,44.08888889,-73.81638889,NY
28,SANTANONI PK,4606,2425,44.08222222,-74.13138889,NY
29,MT REDFIELD,4606,259,44.09472222,-73.95027778,NY
30,WRIGHT PK,4587,272,44.15166667,-73.98,NY
31,MT GUYOT,4580,200,44.16805556,-71.53444444,NH
32,MT BOND (W PK),4540,200,44.15472222,-71.54388889,NH
33,SADDLEBACK MTN,4527,377,44.12638889,-73.87527778,NY
34,MT GARFIELD,4500,840,44.18722222,-71.61111111,NH
35,MT LIBERTY,4459,399,44.11583333,-71.64277778,NH
36,PANTHER PK,4442,292,44.09833333,-74.13277778,NY
37,SOUTH CARTER MTN,4430,240,44.28972222,-71.17694444,NH
38,WILDCAT MTN,4422,1034,44.25916667,-71.20222222,NH
39,MT HANCOCK,4420,1240,44.08333333,-71.49388889,NH
40,TABLE TOP MTN,4412,426,44.14055556,-73.91666667,NY
41,HOUGH PK,4409,390,44.06944444,-73.77805556,NY
42,MT MANSFIELD (CHIN),4393,3643,44.54361111,-72.81472222,VT
43,MACOMB MTN,4390,600,44.05166667,-73.78027778,NY
44,ROCKY PEAK RIDGE,4383,627,44.15416667,-73.70583333,NY
45,MT MARSHALL,4379,525,44.1275,-74.0125,NY
46,KINSMAN MTN (S PK),4358,2418,44.12277778,-71.73694444,NH
47,SEWARD MTN,4347,2035,44.15972222,-74.2,NY
48,ALLEN MTN,4347,660,44.07083333,-73.94,NY
49,MT OSCEOLA,4340,2040,44.00166667,-71.53638889,NH
50,MT FIELD,4340,1702,44.19611111,-71.43388889,NH
51,MT FLUME,4328,428,44.10861111,-71.62861111,NH
52,MT PIERCE,4310,250,44.22694444,-71.36611111,NH
53,TABLE TOP MTN (E PK),4304,285,44.14361111,-73.90777778,NY
54,KINSMAN MTN (N PK),4293,273,44.13333333,-71.73722222,NH
55,MT WILLEY,4285,305,44.18333333,-71.42166667,NH
56,BONDCLIFF,4265,205,44.14055556,-71.54111111,NH
57,ZEALAND RIDGE,4260,240,44.17972222,-71.52194444,NH
58,SUGARLOAF MTN,4250,3180,45.03166667,-70.31361111,ME
59,BIG SLIDE MTN,4249,1115,44.18222222,-73.87138889,NY
60,ESTHER MTN,4238,318,44.38694444,-73.89027778,NY
61,KILLINGTON PEAK,4235,3325,43.60444444,-72.82055556,VT
62,CROCKER MTN,4228,1218,45.04694444,-70.38333333,ME
63,UPPER WOLFJAW MTN,4202,282,44.14027778,-73.84583333,NY
64,SLIDE MTN,4190,3295,41.99916667,-74.38611111,NY
65,MT TRIPYRAMID (N PK),4180,1360,43.97305556,-71.44333333,NH
66,LOWER WOLFJAW MTN,4173,679,44.14805556,-73.83305556,NY
67,OLD SPECK MTN,4170,2720,44.57083333,-70.95416667,ME
68,MT CABOT,4170,2665,44.50583333,-71.41472222,NH
69,PHELPS MTN,4160,207,44.15694444,-73.92166667,NY
70,MT OSCEOLA (E PK),4156,336,44.00611111,-71.52111111,NH
71,NORTH BROTHER,4151,1256,45.95694444,-68.98583333,ME
72,STREET MTN,4150,1280,44.17944444,-74.0275,NY
73,SAWTEETH,4150,492,44.11444444,-73.85055556,NY
74,BIGELOW MTN (W PK),4145,2855,45.14666667,-70.28861111,ME
75,MT TRIPYRAMID (M PK),4140,280,43.96444444,-71.44055556,NH
76,SADDLEBACK MTN,4120,2446,44.93638889,-70.505,ME
77,CANNON MTN,4100,760,44.15666667,-71.69944444,NH
78,CASCADE MTN,4097,1194,44.21833333,-73.86055556,NY
79,SEYMOUR MTN,4091,1024,44.15805556,-74.17277778,NY
80,CAMELS HUMP,4090,2140,44.31944444,-72.88666667,VT
81,BIGELOW MTN (AVERY PK),4090,277,45.14666667,-70.27583333,ME
82,PORTER MTN,4085,328,44.21222222,-73.85416667,NY
83,SOUTH DIX,4084,197,44.06,-73.77472222,NY
84,MT COLVIN,4084,754,44.09388889,-73.83472222,NY
85,MT ELLEN,4083,1873,44.15972222,-72.92916667,VT
86,WILDCAT RIDGE (D PK),4070,300,44.24916667,-71.22416667,NH
87,MT MANSFIELD (THE NOSE),4062,212,44.5265,-72.8151,VT
88,MT HALE,4054,634,44.22166667,-71.5125,NH
89,MT JACKSON,4052,352,44.20305556,-71.37583333,NH
90,MT TOM,4051,351,44.21027778,-71.44666667,NH
91,SOUTH CROCKER MTN,4050,360,45.03611111,-70.37638889,ME
92,MT ABRAHAM,4050,900,44.97277778,-70.32694444,ME
93,HUNTER MTN,4050,2160,42.1775,-74.23083333,NY
94,MT MORIAH,4049,922,44.34027778,-71.13222222,NH
95,MT PASSACONAWAY,4043,783,43.95472222,-71.38111111,NH
96,SADDLEBACK MTN (THE HORN),4041,471,44.95111111,-70.4875,ME
97,OWLS HEAD,4025,845,44.14416667,-71.60555556,NH
98,GALEHEAD,4024,284,44.185,-71.57388889,NH
99,MT WHITEFACE,4020,600,43.93666667,-71.40805556,NH
100,DIAL MTN,4019,197,44.10583333,-73.79666667,NY
101,SPAULDING MTN,4010,595,45.00277778,-70.33388889,ME
102,MT REDINGTON,4010,460,45.025,-70.38916667,ME
103,YARD MTN,4009,220,44.17444444,-73.88527778,NY
104,MT ABRAHAM,4006,296,44.12027778,-72.93666667,VT
105,GRACE PK (EAST DIX),4006,315,44.06527778,-73.75777778,NY
106,MT WAUMBEK,4005,1299,44.4325,-71.41777778,NH
107,MT ISOLATION,4004,224,44.21472222,-71.31,NH
108,MT TECUMSEH,4003,1743,43.96638889,-71.55694444,NH
109,BLACK DOME,3990,2080,42.27,-74.12333333,NY
110,BLAKE PK,3986,591,44.08111111,-73.845,NY
111,MACNAUGHTON MTN,3982,849,44.13972222,-74.06472222,NY
112,SANDWICH MTN,3980,1200,43.90027778,-71.49861111,NH
113,SOUTH BROTHER,3970,520,45.94416667,-69.00222222,ME
114,SNOW MTN,3960,2330,45.29138889,-70.70972222,ME
115,GREEN MTN,3959,859,44.18194444,-73.715,NY
116,PICO PK,3957,587,43.63944444,-72.83694444,VT
117,BLAKE PK (S PK),3953,200,44.07666667,-73.84694444,NY
118,THOMAS COLE MTN,3950,220,42.27083333,-74.13666667,NY
119,THE BULGE,3950,240,44.51444444,-71.40861111,NH
120,BLACKHEAD,3950,520,42.26777778,-74.10527778,NY
121,CLIFF MTN,3943,482,44.10333333,-73.97555556,NY
122,STRATTON MTN,3940,2415,43.08611111,-72.92555556,VT
123,MCDONNEL MTN,3940,250,44.08055556,-73.93472222,NY
124,MT NANCY,3926,1026,44.12222222,-71.405,NH
125,THE HORN,3905,255,44.51777778,-71.40055556,NH
126,SNOWY MTN,3901,2243,43.7,-74.38694444,NY
127,MT WEEKS (N PK),3900,623,44.46138889,-71.38222222,NH
128,MOOSE MTN,3897,1388,44.35083333,-74.00361111,NY
129,UNNAMED (LOST POND PK),3891,463,44.16416667,-74.03472222,NY
130,WEST KILL MTN,3890,1240,42.16777778,-74.29027778,NY
131,MT WEEKS (S PK),3885,351,44.44222222,-71.38888889,NH
132,KILBURN MTN,3881,1700,44.30277778,-73.8825,NY
133,BLUE RIDGE,3881,1096,43.62944444,-74.48222222,NY
134,NORTH RIVER MTNS (N PK),3877,1433,44.03527778,-73.9825,NY
135,GOOSE EYE MTN,3870,1380,44.50277778,-71,ME
136,DOUBLETOP MTN,3870,1200,42.0275,-74.52861111,NY
137,CORNELL MTN,3870,620,42.00138889,-74.35722222,NY
138,GRAHAM MTN,3868,898,42.03944444,-74.54972222,NY
139,FORT MTN,3867,199,45.96194444,-68.97527778,ME
140,VOSE SPUR,3862,242,44.10277778,-71.435,NH
141,PANTHER MTN,3861,1194,43.73666667,-74.39194444,NY
142,THE SLEEPERS (E PK),3860,320,43.94666667,-71.42583333,NH
143,SENTINEL MTN,3858,332,44.30611111,-73.85277778,NY
144,JAY PK,3858,2970,44.92444444,-72.52638889,VT
145,WHITE CAP MTN,3856,1006,45.23611111,-70.81833333,ME
146,PANTHER,3855,485,45.26722222,-70.84166667,ME
147,SAWTOOTH MTNS (M PK) (SAWTOOTH 1),3854,1476,44.18861111,-74.12166667,NY
148,RIST MTN,3854,262,44.02777778,-73.98777778,NY
149,PLATEAU MTN,3850,1780,42.13805556,-74.17472222,NY
150,EQUINOX MTN,3850,3060,43.16583333,-73.11805556,VT
151,HOWARD MTN,3848,256,44.15805556,-73.89138889,NY
152,TABLE MTN,3847,657,41.95833333,-74.40527778,NY
153,MENDON PK,3840,290,43.595,-72.84666667,VT
154,BREAD LOAF MTN,3835,1405,44.00194444,-72.94166667,VT
155,MCKENZIE MTN,3832,634,44.33611111,-74.03277778,NY
156,AVALANCHE MTN,3832,404,44.13611111,-73.97,NY
157,LYON MTN (NE PK),3830,2247,44.70305556,-73.86472222,NY
158,TR MTN,3822,328,44.14388889,-73.93583333,NY
159,SUGARLOAF MTN,3810,1200,42.13111111,-74.15083333,NY
160,BIGELOW MTN (THE HORNS S PK),3805,495,45.145,-70.32361111,ME
161,LYON MTN AVERILL PK,3803,353,44.69277778,-73.88138889,NY
162,MT COE,3795,305,45.93361111,-69.00944444,ME
163,COUCHSACHRAGA PK,3792,266,44.09527778,-74.16055556,NY
164,EAST KENNEBAGO MTN,3791,1801,45.12166667,-70.6,ME
165,WITTENBERG MTN,3790,240,42.00805556,-74.3475,NY
166,BALDPATE MTN (E PK),3790,2240,44.60916667,-70.89277778,ME
167,SAWTOOTH MTNS (W PK) (SAWTOOTH 2),3789,492,44.1934,-74.1399,NY
168,BUELL MTN,3789,433,43.71638889,-74.4075,NY
169,BIG JAY,3786,391,44.915,-72.54111111,VT
170,SNOW MTN,3784,1274,45.16916667,-70.82722222,ME
171,MT WILSON,3780,210,44.00472222,-72.92611111,VT
172,BOREAS MTN,3776,1135,44.00305556,-73.88111111,NY
173,KENNEBAGO DIVIDE (N PK),3775,365,45.2225,-70.81611111,ME
174,SCAR RIDGE (W PK),3774,674,44.02916667,-71.59583333,NH
175,ELEPHANT MTN,3772,2062,44.76805556,-70.78222222,ME
176,REDINGTON POND RANGE (M PK),3770,250,45.00777778,-70.39472222,ME
177,DORSET PK,3770,2840,43.30916667,-73.02861111,VT
178,CANNON BALLS (NE PK),3769,349,44.15,-71.71055556,NH
179,WAKELY MTN,3766,1631,43.73694444,-74.51527778,NY
180,MAHOOSUC ARM,3765,235,44.56055556,-70.97861111,ME
181,MT KANCAMAGUS,3763,863,44.01111111,-71.47944444,NH
182,WEST KENNEBAGO MTN (N PK),3750,881,45.12027778,-70.81611111,ME
183,MT ABRAHAM (M PK),3750,340,44.95777778,-70.30472222,ME
184,HUNTER MTN (SW PK),3750,200,42.1625,-74.24416667,NY
185,BLUE MTN,3750,1939,43.87222222,-74.40138889,NY
186,GLASTENBURY MTN,3748,1121,42.97777778,-73.07222222,VT
187,MT LOWELL,3740,600,44.10361111,-71.41861111,NH
188,MT ANDERSON,3740,480,44.1125,-71.41833333,NH
189,SHELBURNE MORIAH MTN,3735,445,44.35305556,-71.09916667,NH
190,DONALDSON MTN (W PK),3734,210,44.15611111,-74.22916667,NY
191,SHREWSBURY PK,3730,640,43.57555556,-72.80638889,VT
192,PANTHER MTN,3730,980,42.05833333,-74.39666667,NY
193,LEWEY MTN,3730,827,43.66444444,-74.4425,NY
194,HUTCHINS MTN MT PILOT,3730,511,44.54805556,-71.455,NH
195,COBURN MTN,3730,2520,45.46861111,-70.12694444,ME
196,BUNNEL MTN (BLUE MTN),3730,1800,44.79138889,-71.47916667,NH
197,BALSAM LAKE MTN,3730,480,42.04555556,-74.595,NY
198,WALLFACE MTN,3727,594,44.13805556,-74.03722222,NY
199,MT DARTMOUTH,3727,720,44.3025,-71.38416667,NH
