Rank,Name,Elevation,Prominence,Latitude,Longitude,State
131,BLACK DOME,3990,2080,42.27,-74.12333333,NY
132,BLAKE PK,3986,591,44.08111111,-73.845,NY
133,MACNAUGHTON MTN,3982,849,44.13972222,-74.06472222,NY
134,SANDWICH MTN,3980,1200,43.90027778,-71.49861111,NH
135,SOUTH BROTHER,3970,520,45.94416667,-69.00222222,ME
136,SNOW MTN,3960,2330,45.29138889,-70.70972222,ME
137,GREEN MTN,3959,859,44.18194444,-73.715,NY
138,PICO PK,3957,587,43.63944444,-72.83694444,VT
139,THOMAS COLE MTN,3950,220,42.27083333,-74.13666667,NY
140,THE BULGE,3950,240,44.51444444,-71.40861111,NH
141,BLACKHEAD,3950,520,42.26777778,-74.10527778,NY
142,CLIFF MTN,3943,482,44.10333333,-73.97555556,NY
143,STRATTON MTN,3940,2415,43.08611111,-72.92555556,VT
144,MCDONNEL MTN,3940,250,44.08055556,-73.93472222,NY
145,MT NANCY,3926,1026,44.12222222,-71.405,NH
146,THE HORN,3905,255,44.51777778,-71.40055556,NH
147,SNOWY MTN,3901,2243,43.7,-74.38694444,NY
148,MT WEEKS (N PK),3900,623,44.46138889,-71.38222222,NH
149,MOOSE MTN,3897,1388,44.35083333,-74.00361111,NY
150,UNNAMED (LOST POND PK),3891,463,44.16416667,-74.03472222,NY
151,WEST KILL MTN,3890,1240,42.16777778,-74.29027778,NY
152,MT WEEKS (S PK),3885,351,44.44222222,-71.38888889,NH
153,KILBURN MTN,3881,1700,44.30277778,-73.8825,NY
154,BLUE RIDGE,3881,1096,43.62944444,-74.48222222,NY
155,NORTH RIVER MTNS (N PK),3877,1433,44.03527778,-73.9825,NY
156,GOOSE EYE MTN,3870,1380,44.50277778,-71,ME
157,DOUBLETOP MTN,3870,1200,42.0275,-74.52861111,NY
158,CORNELL MTN,3870,620,42.00138889,-74.35722222,NY
159,GRAHAM MTN,3868,898,42.03944444,-74.54972222,NY
160,VOSE SPUR,3862,242,44.10277778,-71.435,NH
161,PANTHER MTN,3861,1194,43.73666667,-74.39194444,NY
162,THE SLEEPERS (E PK),3860,320,43.94666667,-71.42583333,NH
163,SENTINEL MTN,3858,332,44.30611111,-73.85277778,NY
164,JAY PK,3858,2970,44.92444444,-72.52638889,VT
165,WHITE CAP MTN,3856,1006,45.23611111,-70.81833333,ME
166,PANTHER,3855,485,45.26722222,-70.84166667,ME
167,SAWTOOTH MTNS (M PK) (SAWTOOTH 1),3854,1476,44.18861111,-74.12166667,NY
168,RIST MTN,3854,262,44.02777778,-73.98777778,NY
169,PLATEAU MTN,3850,1780,42.13805556,-74.17472222,NY
170,EQUINOX MTN,3850,3060,43.16583333,-73.11805556,VT
171,HOWARD MTN,3848,256,44.15805556,-73.89138889,NY
172,TABLE MTN,3847,657,41.95833333,-74.40527778,NY
173,MENDON PK,3840,290,43.595,-72.84666667,VT
174,BREAD LOAF MTN,3835,1405,44.00194444,-72.94166667,VT
175,MCKENZIE MTN,3832,634,44.33611111,-74.03277778,NY
176,AVALANCHE MTN,3832,404,44.13611111,-73.97,NY
177,LYON MTN (NE PK),3830,2247,44.70305556,-73.86472222,NY
178,TR MTN,3822,328,44.14388889,-73.93583333,NY
179,SUGARLOAF MTN,3810,1200,42.13111111,-74.15083333,NY
180,BIGELOW MTN (THE HORNS S PK),3805,495,45.145,-70.32361111,ME
181,LYON MTN AVERILL PK,3803,353,44.69277778,-73.88138889,NY
182,MT COE,3795,305,45.93361111,-69.00944444,ME
183,COUCHSACHRAGA PK,3792,266,44.09527778,-74.16055556,NY
184,EAST KENNEBAGO MTN,3791,1801,45.12166667,-70.6,ME
185,WITTENBERG MTN,3790,240,42.00805556,-74.3475,NY
186,BALDPATE MTN (E PK),3790,2240,44.60916667,-70.89277778,ME
187,SAWTOOTH MTNS (W PK) (SAWTOOTH 2),3789,492,44.1934,-74.1399,NY
188,BUELL MTN,3789,433,43.71638889,-74.4075,NY
189,BIG JAY,3786,391,44.915,-72.54111111,VT
190,SNOW MTN,3784,1274,45.16916667,-70.82722222,ME
191,MT WILSON,3780,210,44.00472222,-72.92611111,VT
192,BOREAS MTN,3776,1135,44.00305556,-73.88111111,NY
193,KENNEBAGO DIVIDE (N PK),3775,365,45.2225,-70.81611111,ME
194,SCAR RIDGE (W PK),3774,674,44.02916667,-71.59583333,NH
195,ELEPHANT MTN,3772,2062,44.76805556,-70.78222222,ME
196,REDINGTON POND RANGE (M PK),3770,250,45.00777778,-70.39472222,ME
197,DORSET PK,3770,2840,43.30916667,-73.02861111,VT
198,CANNON BALLS (NE PK),3769,349,44.15,-71.71055556,NH
199,WAKELY MTN,3766,1631,43.73694444,-74.51527778,NY
200,MAHOOSUC ARM,3765,235,44.56055556,-70.97861111,ME
201,MT KANCAMAGUS,3763,863,44.01111111,-71.47944444,NH
202,WEST KENNEBAGO MTN (N PK),3750,881,45.12027778,-70.81611111,ME
203,MT ABRAHAM (M PK),3750,340,44.95777778,-70.30472222,ME
204,BLUE MTN,3750,1939,43.87222222,-74.40138889,NY
205,GLASTENBURY MTN,3748,1121,42.97777778,-73.07222222,VT
206,MT LOWELL,3740,600,44.10361111,-71.41861111,NH
207,MT ANDERSON,3740,480,44.1125,-71.41833333,NH
208,SHELBURNE MORIAH MTN,3735,445,44.35305556,-71.09916667,NH
209,DONALDSON MTN (W PK),3734,210,44.15611111,-74.22916667,NY
210,SHREWSBURY PK,3730,640,43.57555556,-72.80638889,VT
211,PANTHER MTN,3730,980,42.05833333,-74.39666667,NY
212,LEWEY MTN,3730,827,43.66444444,-74.4425,NY
213,HUTCHINS MTN MT PILOT,3730,511,44.54805556,-71.455,NH
214,COBURN MTN,3730,2520,45.46861111,-70.12694444,ME
215,BUNNEL MTN (BLUE MTN),3730,1800,44.79138889,-71.47916667,NH
216,BALSAM LAKE MTN,3730,480,42.04555556,-74.595,NY
217,WALLFACE MTN,3727,594,44.13805556,-74.03722222,NY
218,MT DARTMOUTH,3727,720,44.3025,-71.38416667,NH
219,MT BEMIS,3725,265,44.12694444,-71.39416667,NH
220,HENDERSON MTN,3723,820,44.09777778,-74.09805556,NY
221,LONE MTN,3721,291,41.96916667,-74.38972222,NY
222,PANTHER MTN (S PK),3714,230,43.72527778,-74.39333333,NY
223,WEST KENNEBAGO MTN,3713,220,45.10694444,-70.81694444,ME
224,STERLING MTN (WHITE FACE MTN),3713,1543,44.58222222,-72.74027778,VT
225,SUGARLOAF,3710,600,44.74416667,-71.46833333,NH
226,BLACK NUBBLE,3710,920,45.03194444,-70.4475,ME
227,BIG INDIAN MTN,3710,520,42.035,-74.49722222,NY
228,KENNEBAGO DIVIDE (S PK),3705,555,45.20583333,-70.82888889,ME
229,HOFFMAN MTN,3704,1962,43.91138889,-73.81888889,NY
230,ZEALE,3700,280,44.2008,-71.5183,NH
231,MT HUNTINGTON,3700,840,44.0501,-71.4912,NH
232,BARREN MTN,3696,686,45.91916667,-68.98305556,ME
233,SAWTOOTH MTNS (SSE PK) (SAWTOOTH 3),3694,627,44.1717,-74.1078,NY
234,FRIDAY MTN,3694,204,41.98777778,-74.3625,NY
235,MT FIELD (W PK),3691,211,44.18916667,-71.4475,NH
236,RUSK MTN,3690,760,42.20055556,-74.27777778,NY
237,BOLTON MTN,3690,1800,44.44916667,-72.84027778,VT
238,MT ETHAN ALLEN,3688,878,44.29361111,-72.88472222,VT
239,CHENEY COBBLE,3684,584,44.04444444,-73.96527778,NY
240,HURRICANE MTN,3678,1988,44.235,-73.71083333,NY
241,GOOSE EYE MTN (N PK),3675,285,44.51611111,-70.98888889,ME
242,MT DECEPTION (E PK),3671,571,44.29361111,-71.42111111,NH
243,MT ABRAHAM (S PK),3671,261,44.94361111,-70.29083333,ME
244,GARFIELD RIDGE (W PK),3667,227,44.18972222,-71.59583333,NH
245,GENERAL STARK MTN,3662,232,44.18416667,-72.92916667,VT
246,BALDPATE MTN (W PK),3662,232,44.60138889,-70.9025,ME
