Rank,Name,Elevation,Latitude,Longitude,State
1,MT MANSFIELD (Chin),4393,44.54361111,-72.81472222,VT
2,KILLINGTON PK,4235,43.60444444,-72.82055556,VT
3,CAMELS HUMP,4090,44.31944444,-72.88666667,VT
4,MT ELLEN,4083,44.15972222,-72.92916667,VT
5,MT ABRAHAM,4006,44.12027778,-72.93666667,VT
6,PICO PK,3957,43.63944444,-72.83694444,VT
7,STRATTON MTN,3940,43.08611111,-72.92555556,VT
8,JAY PK,3858,44.92444444,-72.52638889,VT
9,EQUINOX MTN,3850,43.16583333,-73.11805556,VT
10,MENDON PK,3840,43.595,-72.84666667,VT
11,BREAD LOAF MTN,3835,44.00194444,-72.94166667,VT
12,MT WILSON,3790,44.00472222,-72.92611111,VT
13,BIG JAY,3786,44.915,-72.54111111,VT
14,DORSET PK,3770,43.30916667,-73.02861111,VT
15,GLASTENBURY MTN,3748,42.97777778,-73.07222222,VT
16,SHREWSBURY PK,3730,43.57555556,-72.80638889,VT
17,STERLING MTN (WHITE FACE MTN),3714,44.58222222,-72.74027778,VT
18,BOLTON MTN,3690,44.44916667,-72.84027778,VT
19,(MT ETHAN ALLEN),3688,44.29361111,-72.88472222,VT
20,GENERAL STARK MTN,3662,44.18416667,-72.92916667,VT
21,MADONNA PK,3650,44.56138889,-72.75888889,VT
22,WORCESTER MTNS (S PK),3642,44.41833333,-72.63888889,VT
23,MT GRANT,3623,44.05194444,-72.92666667,VT
24,MT SNOW,3586,42.95916667,-72.92388889,VT
25,MT HUNGER (N PK),3586,44.40083333,-72.64388889,VT
26,MT ROOSEVELT,3550,44.02,-72.91833333,VT
27,FARR PK,3522,43.80916667,-72.94444444,VT
28,DORSET MTN (W PK),3515,43.30861111,-73.06416667,VT
29,WORCESTER MTNS (N PK),3490,44.43055556,-72.61277778,VT
30,BLOODROOT MTN,3485,43.78555556,-72.93777778,VT
31,MT CLEVELAND,3482,44.04611111,-72.90833333,VT
32,HAYSTACK MTN,3445,42.91361111,-72.91972222,VT
33,EAST MTN,3439,44.66472222,-71.77055556,VT
34,NORTH JAY PK,3438,44.9575,-72.53666667,VT
35,PERU PK,3435,43.29444444,-72.93805556,VT
36,GLASTENBURY MTN (W PK),3423,42.97777778,-73.11027778,VT
37,GLASTENBURY MTN (N PK),3412,43.02805556,-73.03166667,VT
38,RICKER MTN,3410,44.42055556,-72.82611111,VT
39,NORTH JAY PK (S PK),3409,44.94694444,-72.54083333,VT
40,STYLES PK,3392,43.27361111,-72.93861111,VT
41,MORSE MTN,3390,44.57638889,-72.75222222,VT
42,SIGNAL MTN,3370,44.20611111,-72.32555556,VT
43,DEWEY MTN,3370,44.49361111,-72.82194444,VT
44,CAPE LOOKOFF MTN,3370,43.85555556,-72.97333333,VT
45,GILLESPIE PK (WHITE ROCKS MTN),3366,43.87138889,-72.97777778,VT
46,MT CARMEL,3365,43.77444444,-72.92083333,VT
47,MOTHER MYRICK MTN,3361,43.21333333,-73.11694444,VT
48,BELVIDERE MTN,3356,44.77305556,-72.55138889,VT
49,LUDLOW MTN (OKEMO MTN),3343,43.40388889,-72.75194444,VT
50,ROUND MTN,3342,43.81555556,-72.885,VT
