Rank,Name,Elevation,Prominence,Latitude,Longitude,State
7,PICO PK,3957,587,43.63944444,-72.83694444,VT
8,STRATTON MTN,3940,2415,43.08611111,-72.92555556,VT
9,JAY PK,3858,2970,44.92444444,-72.52638889,VT
10,EQUINOX MTN,3850,3060,43.16583333,-73.11805556,VT
11,MENDON PK,3840,290,43.595,-72.84666667,VT
12,BREAD LOAF MTN,3835,1405,44.00194444,-72.94166667,VT
13,BIG JAY,3786,391,44.915,-72.54111111,VT
14,MT WILSON,3780,210,44.00472222,-72.92611111,VT
15,DORSET PK,3770,2840,43.30916667,-73.02861111,VT
16,GLASTENBURY MTN,3748,1121,42.97777778,-73.07222222,VT
17,SHREWSBURY PK,3730,640,43.57555556,-72.80638889,VT
18,STERLING MTN (WHITE FACE MTN),3713,1543,44.58222222,-72.74027778,VT
19,BOLTON MTN,3690,1800,44.44916667,-72.84027778,VT
20,MT ETHAN ALLEN,3688,878,44.29361111,-72.88472222,VT
21,GENERAL STARK MTN,3662,232,44.18416667,-72.92916667,VT
22,MADONNA PK,3650,700,44.56138889,-72.75888889,VT
23,MT PUTNAM (WORCESTER),3642,2472,44.41833333,-72.63888889,VT
24,MT GRANT,3623,673,44.05194444,-72.92666667,VT
25,MT SNOW,3586,1351,42.95916667,-72.92388889,VT
26,MT HUNGER (N PK),3586,316,44.40083333,-72.64388889,VT
27,MT ROOSEVELT,3550,280,44.02,-72.91833333,VT
28,FARR PK,3522,1378,43.80916667,-72.94444444,VT
29,DORSET MTN (W PK),3515,545,43.30861111,-73.06416667,VT
30,WORCESTER MTNS (N PK),3490,440,44.43055556,-72.61277778,VT
31,BLOODROOT MTN,3485,375,43.78555556,-72.93777778,VT
32,MT CLEVELAND,3482,372,44.04611111,-72.90833333,VT
33,HAYSTACK MTN,3444,383,42.91361111,-72.91972222,VT
34,EAST MTN,3439,2229,44.66472222,-71.77055556,VT
35,NORTH JAY PK,3438,811,44.9575,-72.53666667,VT
36,PERU PK,3435,1477,43.29444444,-72.93805556,VT
37,GLASTENBURY MTN (W PK),3423,413,42.97777778,-73.11027778,VT
38,GLASTENBURY MTN (N PK),3412,576,43.02805556,-73.03166667,VT
39,RICKER MTN,3410,640,44.42055556,-72.82611111,VT
40,DOLL PK,3408,210,44.94694444,-72.54083333,VT
41,STYLES PK,3392,194,43.27361111,-72.93861111,VT
42,MORSE MTN,3390,251,44.57638889,-72.75222222,VT
43,SIGNAL MTN,3370,2140,44.20611111,-72.32555556,VT
44,DEWEY MTN,3370,700,44.49361111,-72.82194444,VT
45,CAPE LOOKOFF MTN,3370,1200,43.85555556,-72.97333333,VT
46,GILLESPIE PK (WHITE ROCKS MTN),3366,336,43.87138889,-72.97777778,VT
47,MT CARMEL,3365,755,43.77444444,-72.92083333,VT
48,MOTHER MYRICK MTN,3361,1091,43.21333333,-73.11694444,VT
49,BELVIDERE MTN,3356,1564,44.77305556,-72.55138889,VT
50,LUDLOW MTN (OKEMO MTN),3343,1227,43.40388889,-72.75194444,VT
51,ROUND MTN,3342,952,43.81555556,-72.885,VT
52,COLD HOLLOW MTNS,3337,2165,44.7875,-72.68944444,VT
53,GORE MTN,3332,1971,44.91972222,-71.79416667,VT
54,GLASTENBURY MTN (S PK),3331,561,42.93833333,-73.05805556,VT
55,SPRUCE PK,3330,340,44.55083333,-72.78361111,VT
56,BOYCE MTN,3323,273,43.97361111,-72.94111111,VT
57,BALD MTN,3310,1780,44.76611111,-71.98888889,VT
58,BEAR MTN,3301,722,43.20083333,-73.16722222,VT
59,MT WORCESTER,3293,403,44.44333333,-72.59222222,VT
60,GOSHEN MTN,3292,262,43.82944444,-72.97138889,VT
61,SALT ASH MTN,3286,1196,43.5025,-72.77444444,VT
62,BROMLEY,3280,849,43.22777778,-72.94027778,VT
63,BLUE RIDGE MTN (S PK),3278,1308,43.67805556,-72.90222222,VT
