Name,Elevation,Latitude,Longitude,State
BEAR,2996,43.8703,-72.9556,VT
UNNAMED (READSBORO),2995,42.82437,-72.94407,VT
E KNOX,2990,44.1683,-72.34001,VT
CLARK,2970,44.47889,-72.8414,VT
MEACHAM SWAMP PEAK,2970,44.9023,-71.6318,VT
S DORSET,2970,43.28539,-73.06724,VT
UNNAMED (STAMFORD POND PEAK),2970,42.81672,-73.05897,VT
MOLLY STARK,2967,44.22194,-72.92665,VT
PETE PARENT,2963,43.32194,-72.90473,VT
N RICE,2963,42.98722,-72.83612,VT
GILLESPIE,2956,43.95611,-72.87612,VT
UNNAMED (BLUE BROOK),2954,42.99416,-72.87334,VT
ROCHESTER,2953,43.86694,-72.74834,VT
RICE HILL,2950,42.97833,-72.8275,VT
MIDDLE,2947,44.91722,-71.83168,VT
GLEBE,2943,43.18888,-72.76084,VT
LYE BROOK MEADOWS PEAK,2941,43.08084,-73.04601,VT
BUCHANAN,2940,44.87861,-72.50917,VT
STRATTON POND PEAK,2938,43.11416,-72.96972,VT
ROUND,2932,44.93305,-71.7875,VT
N SNOW,2929,42.9894444,-72.9097222,VT
W WINDFARM,2923,42.8719444,-72.9844444,VT
DOMEYS DOME,2923,44.8913889,-72.4997222,VT
SCRUB HILL,2916,42.8052778,-73.1077778,VT
SCRAG,2911,44.1561111,-72.7727778,VT
BONE,2910,44.4025,-72.8444444,VT
NS BRAINTREE,2895,43.9341,-72.7764,VT
GOODWIN,2890,44.7741667,-72.0069444,VT
DOWNER GLEN PEAK,2886,43.1377778,-73.0136111,VT
NE DEVILS DEN PEAK,2884,43.3597222,-72.8725,VT
DARNING NEEDLE,2883,43.7352,-72.8488,VT
TERRIBLE,2882,43.3135,-72.7436,VT
S TILLOTSON,2881,44.7957,-72.5597,VT
NETOP,2878,43.2769,-73.0298,VT
BUCKBALL PEAK,2864,43.3428,-72.9427,VT
N BAKER,2864,43.32889,-72.9602,VT
BALD,2857,42.9221,-73.1439,VT
S LINCOLN GAP PEAK,2850,44.08083,-72.928,VT
RED,2846,43.108,-73.168,VT
NN TERRIBLE,2844,43.3402,-72.7558,VT
NW KNOX,2837,44.1706,-72.3679,VT
SE BULL HILL,2836,43.6779,-72.6719,VT
TINMOUTH,2835,43.4194,-73.0761,VT
MT HOLLY PEAK,2825,43.3749,-72.8436,VT
S ROXBURY GAP PEAK,2823,44.0893,-72.7902,VT
BLACK,2822,44.9271,-71.7475,VT
N BURNT,2821,44.1311,-72.7783,VT
NE S POND PEAK,2810,43.7184,-72.8673,VT
JOBS,2810,44.7613,-71.9636,VT
ELBOW PEAK,2808,43.68222,-72.8577,VT
PEABODY HILL,2808,43.3252,-72.8374,VT
WOLF HILL,2805,43.7094,-72.7874,VT
SPRUCE PEAK,2803,43.2397,-73.1411,VT
BURNT,2803,43.5416,-72.7722,VT
LARAWAY,2795,44.7259,-72.7119,VT
S NORTHFIELD,2790,43.9775,-72.8027,VT
NW BOLTON,2790,44.4561,-72.8585,VT
S BLUFF,2789,44.858,-71.8625,VT
EAST,2787,43.6526,-72.7518,VT
SW COLD HOLLOW,2785,44.7764,-72.7105,VT
THE DOME,2784,42.7788,-73.1704,VT
DEER LEAP,2782,43.67,-72.8363,VT
WHEELOCK,2782,44.5576,-72.16,VT
WILDER,2782,43.3955,-72.91,VT
DORSET HILL,2782,43.2606,-73.0328,VT
NORTH POND PEAK,2781,43.7435,-72.8822,VT
WILLARD,2779,43.3878,-72.8922,VT
S BRAINTREE,2778,43.9232,-72.7671,VT
N BLUFF,2774,44.8663,-71.8526,VT
PROSPECT,2767,42.875,-73.06667,VT
PISGAH,2766,44.7296,-72.0303,VT
NW PEABODY,2766,43.34,-72.855,VT
BULL,2758,44.7299,-71.839,VT
THE BALL,2755,43.0623,-73.1965,VT
NICKWAKET,2753,43.7788,-72.994,VT
WOZNIAK,2750,44.7696,-71.9722,VT
CUSHMAN,2750,43.8974,-72.7648,VT
KIRBY,2750,44.5471,-71.9044,VT
SS BRAINTREE,2748,43.91357,-72.76584,VT
STONE,2736,44.561,-71.6659,VT
SE PHILADELPHIA,2735,43.88833,-72.8431,VT
SABLE,2734,44.9226,-71.6862,VT
WEST,2733,44.7093,-71.7043,VT
BROUSSEAU,2732,44.9678,-71.7393,VT
LITTLE WILCOX,2730,43.8199,-72.829,VT
N ELBOW,2730,43.7077,-72.8658,VT
HERRICK,2726,43.5625,-73.099,VT
HAYSTACK,2724,44.7461,-72.002,VT
E ROUND,2714,44.9373,-71.7728,VT
DAVES,2707,43.7321,-72.871,VT
UNNAMED (N SHAGBACK),2704,43.6184,-72.7826,VT
PIGEON POND PEAK,2702,44.2426,-72.3145,VT
SOUTH POND PEAK,2696,43.7097,-72.8759,VT
DEVILS DEN PEAK,2694,43.3483,-72.8771,VT
N TERRIBLE,2694,43.3298,-72.7532,VT
MILES,2690,44.4804,-71.8117,VT
DELECTABLE,2690,43.7003,-72.6804,VT
BILLINGS,2689,44.7053,-72.6667,VT
WHITE ROCKS,2680,43.4291,-72.9391,VT
DUTCH HILL,2657,42.8083,-73.0008,VT
MT HOR,2655,44.7129,-72.0535,VT
INGALLS HILL,2654,43.55806,-72.7805,VT
PARRIS HILL,2654,43.34611,-73.08139,VT
MOOSALAMOO,2640,43.93028,-73.0495,VT
LEAD MINE MOUNTAIN,2635,43.7979,-73.005,VT
THE CAPE,2635,43.8083,-72.9867,VT
BURPEE,2627,43.7044,-72.7488,VT
JOCKEY HILL,2626,43.5645,-72.8282,VT
SABLE,2625,43.7444,-72.7691,VT
IDE MOUNTAIN,2624,44.543,-72.1607,VT
COOPER HILL,2620,42.9504,-72.8222,VT
QUIMBY,2620,43.6869,-72.751,VT
PROSPECT (EAST PEAK),2618,42.87111,-73.0341,VT
MORGAN PEAK,2618,43.5857,-72.7429,VT
E READSBORO,2611,42.855,-72.9327,VT
ELMORE,2607,44.5264,-72.5461,VT
MOSES,2602,43.5285,-72.6186,VT
ANTONE,2600,43.2544,-73.1912,VT
STANNARD,2578,44.5223,-72.2124,VT
