Name,Elevation,Latitude,Longitude,State
MT MANSFIELD (Chin),4393,44.54361111,-72.81472222,VT
KILLINGTON PK,4235,43.60444444,-72.82055556,VT
CAMELS HUMP,4090,44.31944444,-72.88666667,VT
MT ELLEN,4083,44.15972222,-72.92916667,VT
MT ABRAHAM,4006,44.12027778,-72.93666667,VT
PICO PK,3957,43.63944444,-72.83694444,VT
STRATTON MTN,3940,43.08611111,-72.92555556,VT
JAY PK,3858,44.92444444,-72.52638889,VT
EQUINOX MTN,3850,43.16583333,-73.11805556,VT
MENDON PK,3840,43.595,-72.84666667,VT
BREAD LOAF MTN,3835,44.00194444,-72.94166667,VT
MT WILSON,3790,44.00472222,-72.92611111,VT
BIG JAY,3786,44.915,-72.54111111,VT
DORSET PK,3770,43.30916667,-73.02861111,VT
GLASTENBURY MTN,3748,42.97777778,-73.07222222,VT
SHREWSBURY PK,3730,43.57555556,-72.80638889,VT
STERLING MTN (WHITE FACE MTN),3714,44.58222222,-72.74027778,VT
BOLTON MTN,3690,44.44916667,-72.84027778,VT
(MT ETHAN ALLEN),3688,44.29361111,-72.88472222,VT
GENERAL STARK MTN,3662,44.18416667,-72.92916667,VT
MADONNA PK,3650,44.56138889,-72.75888889,VT
WORCESTER MTNS (S PK),3642,44.41833333,-72.63888889,VT
MT GRANT,3623,44.05194444,-72.92666667,VT
MT SNOW,3586,42.95916667,-72.92388889,VT
MT HUNGER (N PK),3586,44.40083333,-72.64388889,VT
MT ROOSEVELT,3550,44.02,-72.91833333,VT
FARR PK,3522,43.80916667,-72.94444444,VT
DORSET MTN (W PK),3515,43.30861111,-73.06416667,VT
WORCESTER MTNS (N PK),3490,44.43055556,-72.61277778,VT
BLOODROOT MTN,3485,43.78555556,-72.93777778,VT
MT CLEVELAND,3482,44.04611111,-72.90833333,VT
HAYSTACK MTN,3445,42.91361111,-72.91972222,VT
EAST MTN,3439,44.66472222,-71.77055556,VT
NORTH JAY PK,3438,44.9575,-72.53666667,VT
