Name,Elevation,Latitude,Longitude
MT MANSFIELD (Chin),4393,44.54361111,-72.81472222
KILLINGTON PK,4235,43.60444444,-72.82055556
CAMELS HUMP,4090,44.31944444,-72.88666667
MT ELLEN,4083,44.15972222,-72.92916667
MT ABRAHAM,4006,44.12027778,-72.93666667
PICO PK,3957,43.63944444,-72.83694444
STRATTON MTN,3940,43.08611111,-72.92555556
JAY PK,3858,44.92444444,-72.52638889
EQUINOX MTN,3850,43.16583333,-73.11805556
MENDON PK,3840,43.595,-72.84666667
BREAD LOAF MTN,3835,44.00194444,-72.94166667
MT WILSON,3790,44.00472222,-72.92611111
BIG JAY,3786,44.915,-72.54111111
DORSET PK,3770,43.30916667,-73.02861111
GLASTENBURY MTN,3748,42.97777778,-73.07222222
SHREWSBURY PK,3730,43.57555556,-72.80638889
STERLING MTN (WHITE FACE MTN),3714,44.58222222,-72.74027778
BOLTON MTN,3690,44.44916667,-72.84027778
(MT ETHAN ALLEN),3688,44.29361111,-72.88472222
GENERAL STARK MTN,3662,44.18416667,-72.92916667
MADONNA PK,3650,44.56138889,-72.75888889
WORCESTER MTNS (S PK),3642,44.41833333,-72.63888889
MT GRANT,3623,44.05194444,-72.92666667
MT SNOW,3586,42.95916667,-72.92388889
MT HUNGER (N PK),3586,44.40083333,-72.64388889
MT ROOSEVELT,3550,44.02,-72.91833333
FARR PK,3522,43.80916667,-72.94444444
DORSET MTN (W PK),3515,43.30861111,-73.06416667
WORCESTER MTNS (N PK),3490,44.43055556,-72.61277778
BLOODROOT MTN,3485,43.78555556,-72.93777778
MT CLEVELAND,3482,44.04611111,-72.90833333
HAYSTACK MTN,3445,42.91361111,-72.91972222
EAST MTN,3439,44.66472222,-71.77055556
NORTH JAY PK,3438,44.9575,-72.53666667
PERU PK,3435,43.29444444,-72.93805556
GLASTENBURY MTN (W PK),3423,42.97777778,-73.11027778
GLASTENBURY MTN (N PK),3412,43.02805556,-73.03166667
RICKER MTN,3410,44.42055556,-72.82611111
NORTH JAY PK (S PK),3409,44.94694444,-72.54083333
STYLES PK,3392,43.27361111,-72.93861111
MORSE MTN,3390,44.57638889,-72.75222222
DEWEY MTN,3370,44.49361111,-72.82194444
CAPE LOOKOFF MTN,3370,43.85555556,-72.97333333
SIGNAL MTN,3370,44.20611111,-72.32555556
GILLESPIE PK (WHITE ROCKS MTN),3366,43.87138889,-72.97777778
MT CARMEL,3365,43.77444444,-72.92083333
MOTHER MYRICK MTN,3361,43.21333333,-73.11694444
BELVIDERE MTN,3356,44.77305556,-72.55138889
LUDLOW MTN (OKEMO MTN),3343,43.40388889,-72.75194444
ROUND MTN,3342,43.81555556,-72.885
COLD HOLLOW MTNS,3337,44.7875,-72.68944444
GORE MTN,3332,44.91972222,-71.79416667
GLASTENBURY MTN (S PK),3331,42.93833333,-73.05805556
SPRUCE PK,3330,44.55083333,-72.78361111
BOYCE MTN,3323,43.97361111,-72.94111111
BALD MTN,3310,44.76611111,-71.98888889
BEAR MTN,3301,43.20083333,-73.16722222
MT WORCESTER,3293,44.44333333,-72.59222222
GOSHEN MTN,3292,43.82944444,-72.97138889
SALT ASH MTN,3286,43.5025,-72.77444444
BROMLEY,3281,43.22777778,-72.94027778
BLUE RIDGE MTN (S PK),3278,43.67805556,-72.90222222
BURKE MTN,3270,44.57055556,-71.89333333
WORTH MTN,3234,43.91,-72.96416667
ROUND MTN (E PK),3230,43.80611111,-72.8525
GREEN PK (MT AEOLUS),3230,43.24055556,-73.03888889
MONASTERY MTN (W PK),3224,43.90694444,-72.93861111
ADAMS MTN,3214,44.04361111,-72.80916667
SMITH PK,3210,43.57611111,-72.78416667
PHILADELPHIA PK,3203,43.9,-72.88666667
HAYSTACK MTN,3196,44.82333333,-72.53861111
"LUDLOW MTN, S MTN",3179,43.37722222,-72.76444444
SENECA MTN (S PK),3174,44.695,-71.80416667
STERLING RANGE (N PK),3172,44.61416667,-72.76472222
MONASTERY MTN (E PK),3170,43.90333333,-72.91472222
SENECA MTN (E PK),3170,44.6975,-71.77472222
MT ETHAN ALLEN (E PK),3170,44.28444444,-72.86472222
BURNT ROCK MTN,3170,44.2675,-72.89611111
BUTTERFIELD MTN,3167,44.18333333,-72.33972222
KIRBY PK,3150,43.96277778,-72.94555556
MONADNOCK MTN,3148,44.8975,-71.54527778
MT MAYO,3143,44.46222222,-72.83888889
CORPORATION MTN,3142,43.82916667,-72.87944444
MT ASCUTNEY,3140,43.44361111,-72.455
NORTHFIELD MTNS (S PK),3130,44.01833333,-72.80972222
GLASTENBURY MTN (NE PK),3130,43.05,-73.0075
UNNAMED PK (READSBORO),3120,42.84888889,-72.97
WOODLAWN MTN,3110,43.3375,-73.09833333
WOODWARD MTN,3110,44.40666667,-72.83305556
GRASS MTN,3109,43.05277778,-73.22416667
HOUGHTON MTN,3095,42.81888889,-73.08555556
UNNAMED PK (BRANCH POND),3090,43.06638889,-73.01694444
